u1	u2	nobservations	iqr
1	5.582900793262168	10211	4.0
2	6.820884871550904	2102	3.0
3	6.827996715927765	812	2.666666666666667
4	6.528769841269841	504	2.5
5	6.422662889518409	353	2.2
6	6.488505747126436	203	2.166666666666667
7	6.546485260770976	126	2.0
8	6.833823529411765	85	2.625
9	7.072124756335282	57	1.7777777777777777
10	6.5418604651162795	43	1.8999999999999995
11	7.244318181818181	16	2.6136363636363633
12	7.125	18	2.104166666666667
13	6.576923076923077	8	1.3461538461538458
14	6.757142857142857	5	0.5
15	6.77037037037037	9	0.7333333333333334
16	7.0625	2	0.375
18	5.916666666666667	2	0.02777777777777768
