u1	u2	nobservations	iqr
1	7.555555555555555	9	4.0
2	6.203125	64	2.125
3	6.079958463136032	321	2.0
4	6.0236794171220405	549	1.75
5	5.937499999999997	496	1.5999999999999996
6	6.293719806763287	345	2.166666666666667
7	6.1445578231292535	252	1.75
8	6.282366071428571	224	1.875
9	6.436991869918697	164	1.8055555555555554
10	6.601408450704226	142	1.9499999999999993
11	6.255528255528256	111	1.6363636363636367
12	6.486458333333333	80	1.5625
13	6.660139860139862	55	2.0
14	7.016806722689076	68	1.9285714285714288
15	6.748611111111113	48	2.4666666666666686
16	6.341796875	32	1.734375
17	6.479500891265599	33	1.5294117647058822
18	6.521739130434784	23	1.6388888888888884
19	6.629699248120301	28	0.8684210526315796
20	6.6775	20	1.3999999999999995
21	6.814536340852131	19	1.1428571428571423
22	7.181818181818182	7	1.25
23	6.010869565217392	4	0.9673913043478262
24	6.972222222222221	6	1.010416666666667
25	6.1	4	0.9600000000000009
26	6.338461538461537	5	1.384615384615385
27	6.049382716049383	3	1.462962962962962
28	5.267857142857142	2	0.5892857142857144
29	6.862068965517242	2	0.8620689655172411
30	6.444444444444444	3	1.3500000000000005
32	7.15625	1	0.0
40	6.55	1	0.0
41	8.24390243902439	1	0.0
