u1	u2	nobservations	iqr
1	5.494152046783626	3078	6.0
2	4.998464004274075	7487	2.5
3	4.590626340626346	9324	1.9999999999999996
4	4.623810793989509	11247	2.0
5	4.6061363636363595	10560	1.8000000000000003
6	4.697680333706359	9829	1.4999999999999996
7	4.78781278223449	8067	1.4285714285714288
8	4.8564321529301155	6382	1.5
9	4.919830091661096	4970	1.4444444444444446
10	4.947955772692208	3889	1.3999999999999995
11	5.032076357377561	2905	1.2727272727272734
12	5.057979290391343	2189	1.25
13	5.11134548065703	1714	1.2307692307692308
14	5.102879728966685	1265	1.2857142857142856
15	5.126803340926347	878	1.1333333333333337
16	5.156875	700	1.25
17	5.21893557422969	525	1.2352941176470589
18	5.276674937965266	403	1.0555555555555554
19	5.271929824561403	282	1.0
20	5.3239631336405555	217	1.0999999999999996
21	5.251626333593545	183	1.2142857142857144
22	5.221729490022173	123	0.9318181818181825
23	5.416453537936912	102	1.0760869565217392
24	5.475	90	0.916666666666667
25	5.393684210526316	57	1.2000000000000002
26	5.5346907993966825	51	0.8461538461538467
27	5.27111111111111	25	1.148148148148148
28	5.5877976190476195	24	1.3303571428571441
29	5.403183023872679	13	1.0
30	6.051515151515151	11	1.5999999999999996
31	5.661290322580644	12	0.75
32	5.66015625	8	1.09375
33	5.393939393939394	7	0.7424242424242422
34	5.470588235294118	4	0.367647058823529
35	5.871428571428571	6	0.621428571428571
36	6.138888888888889	4	0.4722222222222223
37	5.648648648648649	2	0.13513513513513598
38	6.289473684210526	2	0.21052631578947345
39	5.3589743589743595	2	0.76923076923077
40	5.375	1	0.0
43	5.232558139534884	1	0.0
44	5.670454545454545	2	0.5113636363636376
51	5.490196078431373	1	0.0
58	5.103448275862069	2	0.2586206896551717
67	6.7611940298507465	1	0.0
74	4.1891891891891895	1	0.0
