u1	u2	nobservations	iqr
1	2.399724517906336	7260	1.0
2	3.5014812263176025	14515	3.5
3	3.144060497233545	22833	2.666666666666667
4	2.8907083878763467	19862	2.25
5	2.747411353421035	12014	2.0
6	2.640830700368615	5064	1.6666666666666667
7	2.5127937755674963	1781	1.4285714285714286
8	2.374113475177305	564	1.25
9	2.360730593607305	146	1.3055555555555556
10	2.2230769230769236	52	0.9500000000000004
11	2.1060606060606064	12	0.8863636363636362
12	1.8541666666666667	4	0.5625
14	1.7857142857142858	1	0.0
15	1.4666666666666666	1	0.0
