u1	u2	nobservations	iqr
1	2.7956008889395405	17549	2.0
2	3.503870106761566	11240	1.0
3	3.5650788757001077	6487	1.0
4	3.564405041031653	3412	1.0
5	3.553715498938432	1413	0.7999999999999998
6	3.5323129251700656	588	0.666666666666667
7	3.5720213396561933	241	0.7142857142857144
8	3.51453488372093	86	0.625
9	3.531746031746031	28	0.5555555555555554
10	3.21875	16	0.4249999999999998
11	3.324675324675325	7	0.4545454545454546
12	3.291666666666667	2	0.9583333333333335
13	3.3846153846153846	1	0.0
14	4.428571428571429	1	0.0
