u1	u2	nobservations	iqr
1	6.661935483870968	1550	3.0
2	5.09255079006772	2215	2.0
3	4.555914364310493	2787	1.6666666666666665
4	4.348549836601308	2448	1.5
5	4.363429256594726	1668	1.4
6	4.357103825136609	1220	0.9999999999999996
7	4.238485558157686	732	1.0
8	4.236771058315335	463	1.125
9	4.377306635257163	283	1.0000000000000004
10	4.182105263157898	190	1.0
11	4.290569243840272	107	0.954545454545455
12	4.1850490196078445	68	0.9374999999999996
13	4.353550295857987	52	0.9615384615384617
14	4.129870129870129	22	0.9821428571428568
15	4.290909090909092	22	0.8666666666666671
16	4.334821428571429	14	0.84375
17	4.0588235294117645	8	0.41176470588235325
18	4.4	5	1.0
19	4.631578947368421	2	0.8947368421052628
20	4.45	7	0.7000000000000002
21	4.693121693121693	9	0.9523809523809526
22	4.53030303030303	3	0.6590909090909092
23	4.478260869565217	2	0.304347826086957
24	4.208333333333333	3	0.541666666666667
25	4.04	1	0.0
31	4.516129032258065	1	0.0
34	4.764705882352941	1	0.0
80	7.8375	1	0.0
