u1	u2	nobservations	iqr
1	3.254094030639197	22716	2.0
2	4.566853550798505	5886	2.0
3	4.827663595558703	2822	1.666666666666667
4	4.830108621860149	1473	1.5
5	4.746044624746445	986	1.4000000000000004
6	4.726594650205764	648	1.166666666666667
7	4.61317677756034	438	1.1428571428571432
8	4.604910714285714	336	1.125
9	4.756028368794327	235	1.1111111111111107
10	4.736158192090395	177	1.0
11	4.6517595307917885	124	0.8409090909090908
12	4.642361111111112	72	0.9375
13	4.647642679900746	62	1.0961538461538467
14	4.693181818181819	44	0.7142857142857144
15	4.624242424242425	33	1.1333333333333337
16	4.543478260869565	23	1.0625
17	4.698209718670077	23	0.7058823529411766
18	4.730158730158729	14	0.8611111111111116
19	5.1345029239766085	9	0.7368421052631575
20	4.771428571428571	7	0.6000000000000005
21	4.592592592592592	9	0.7142857142857135
22	4.568181818181818	6	0.5795454545454541
23	5.282608695652174	2	0.41304347826087007
24	4.770833333333334	4	0.75
25	3.72	1	0.0
26	5.461538461538462	1	0.0
29	5.241379310344827	1	0.0
31	4.193548387096774	1	0.0
38	4.7894736842105265	1	0.0
78	7.961538461538462	1	0.0
