u1	u2	nobservations	iqr
1	5.846603688708952	2223	3.0
2	5.079075774971297	3484	2.0
3	4.763165325427072	4722	2.0000000000000004
4	4.504201680672269	4998	1.5
5	4.378465936160075	4198	1.4
6	4.332013402375869	3283	1.3333333333333335
7	4.391863354037266	2300	1.2857142857142856
8	4.483765243902439	1640	1.375
9	4.442616290879548	1094	1.2222222222222223
10	4.456610576923076	832	1.2000000000000002
11	4.461667364893168	651	1.1818181818181817
12	4.572233967582804	473	1.1666666666666665
13	4.491415830546261	345	1.0000000000000004
14	4.546619411123229	262	1.1428571428571428
15	4.505426356589148	215	1.0666666666666669
16	4.604166666666667	180	1.1875
17	4.568627450980392	120	1.117647058823529
18	4.508018327605957	97	1.0555555555555558
19	4.812667261373773	59	1.1842105263157894
20	4.825	60	1.2125000000000004
21	4.666666666666668	35	0.833333333333333
22	4.973607038123168	31	1.045454545454545
23	4.636363636363637	22	1.054347826086956
24	5.509803921568627	17	1.0
25	5.016363636363637	22	1.0599999999999996
26	4.913043478260869	23	0.9230769230769225
27	4.709876543209876	18	0.6944444444444455
28	4.860902255639099	19	0.7500000000000009
29	5.09814323607427	13	0.9655172413793105
30	5.0	7	0.666666666666667
31	4.827956989247312	9	0.709677419354839
32	5.260416666666667	9	0.71875
33	4.609848484848484	8	0.3636363636363642
34	5.003676470588236	8	0.4852941176470589
35	4.842857142857143	2	0.15714285714285747
36	4.8125	4	1.4652777777777777
37	4.801801801801801	3	0.3648648648648649
38	5.5	5	0.47368421052631504
39	5.57051282051282	4	0.8653846153846159
40	5.8100000000000005	5	0.6749999999999998
41	4.670731707317073	2	0.47560975609756007
42	4.8809523809523805	3	0.5238095238095237
43	5.837209302325581	1	0.0
45	4.955555555555556	2	0.04444444444444429
46	5.1	5	0.9130434782608692
47	5.914893617021277	1	0.0
48	4.381944444444445	3	0.729166666666667
50	5.8	1	0.0
51	5.137254901960784	2	0.03921568627451055
52	6.355769230769231	2	0.6057692307692317
53	4.6415094339622645	1	0.0
61	5.426229508196721	1	0.0
63	5.492063492063492	1	0.0
64	6.296875	1	0.0
66	5.212121212121212	1	0.0
67	5.850746268656716	1	0.0
71	3.9295774647887325	1	0.0
77	4.688311688311688	1	0.0
84	5.345238095238095	1	0.0
100	6.2	1	0.0
105	5.619047619047619	1	0.0
108	7.138888888888889	1	0.0
