u1	u2	nobservations	iqr
1	2.311463046757164	5304	2.0
2	2.1578073089700998	7224	1.5
3	2.1540084388185923	7268	1.3333333333333333
4	2.2676708013388462	5079	1.25
5	2.4801167457132385	2741	1.4
6	2.48198538674729	1323	1.3333333333333333
7	2.6896258503401342	504	1.4285714285714284
8	2.7306701030927836	194	1.375
9	2.513888888888889	72	0.9166666666666665
10	2.553333333333333	30	0.9999999999999996
11	2.4204545454545445	16	0.8863636363636362
12	3.263888888888889	6	0.708333333333333
13	3.5	2	0.5
14	2.4642857142857144	2	0.10714285714285765
