u1	u2	nobservations	iqr
1	2.912527305537088	10529	2.0
2	2.753481553872465	4093	1.5
3	2.8153100775193853	1720	1.0
4	2.873663101604278	748	0.75
5	2.8660869565217393	345	0.8000000000000003
6	2.8137802607076345	179	0.833333333333333
7	2.9730848861283645	69	0.714285714285714
8	3.0148809523809526	42	0.96875
9	2.899470899470899	21	0.666666666666667
10	3.22	20	0.8499999999999996
11	2.6844919786096257	17	1.181818181818182
12	2.916666666666667	5	0.25
13	2.8846153846153846	6	0.2692307692307696
14	3.142857142857143	2	0.2142857142857144
15	2.7666666666666666	4	0.7666666666666666
16	3.0	1	0.0
20	3.4	1	0.0
21	3.0952380952380953	1	0.0
22	3.1363636363636362	2	0.09090909090909083
26	2.6153846153846154	1	0.0
30	2.7666666666666666	1	0.0
39	3.769230769230769	1	0.0
51	2.627450980392157	1	0.0
