u1	u2	nobservations	iqr
1	5.488372093023256	86	3.0
2	4.851063829787234	470	2.5
3	4.498985286656517	1314	1.6666666666666665
4	4.434042008196721	1952	1.25
5	4.303076923076925	2080	1.4
6	4.294575633127993	1948	1.1666666666666665
7	4.411657907310085	1495	0.9999999999999996
8	4.4882875605815835	1238	1.125
9	4.50692462205307	1051	1.1111111111111112
10	4.431677704194258	906	1.2000000000000002
11	4.531307977736542	784	1.0
12	4.476992143658807	594	1.0000000000000004
13	4.5029585798816525	546	0.9230769230769234
14	4.593394777265747	465	1.0
15	4.611695906432745	399	0.9333333333333327
16	4.637266355140187	321	1.0
17	4.541483042728497	307	0.9117647058823533
18	4.492990654205607	214	0.9444444444444446
19	4.62110922467459	186	0.9342105263157885
20	4.573566878980894	157	1.0
21	4.617989417989415	135	0.9285714285714279
22	4.716253443526169	132	0.8977272727272734
23	4.588819875776397	105	0.695652173913043
24	4.733414239482202	103	0.8333333333333339
25	4.620821917808221	73	0.8799999999999999
26	4.667582417582417	84	0.884615384615385
27	4.513374485596708	72	0.685185185185186
28	4.697368421052632	57	0.8928571428571423
29	4.733990147783252	56	0.6896551724137936
30	4.712820512820512	39	0.7000000000000011
31	4.606112054329372	38	0.798387096774194
32	4.4719827586206895	29	0.625
33	4.901010101010103	30	0.8257575757575761
34	4.772331154684097	27	0.8088235294117645
35	4.780952380952381	21	0.685714285714285
36	4.8465608465608465	21	0.8055555555555562
37	4.954954954954955	21	0.756756756756757
38	4.872368421052633	20	0.8355263157894726
39	4.850427350427349	18	1.0384615384615383
40	4.891666666666667	9	0.8250000000000002
41	4.863039399624766	13	0.7317073170731705
42	4.87012987012987	11	0.6309523809523805
43	4.700996677740865	7	1.22093023255814
44	4.659090909090908	9	0.704545454545455
45	5.1460317460317455	7	0.9555555555555566
46	4.588405797101449	15	1.1304347826086962
47	5.1063829787234045	8	0.8031914893617014
48	4.705729166666667	8	0.682291666666667
49	4.204081632653061	1	0.0
50	4.56	6	0.5449999999999999
51	4.954248366013072	3	0.7745098039215694
52	5.2243589743589745	3	0.884615384615385
53	4.60377358490566	4	0.8773584905660368
54	4.532407407407407	4	0.7175925925925926
55	4.709090909090909	4	0.5454545454545459
56	5.13265306122449	7	0.7321428571428568
57	4.359649122807017	2	0.14912280701754366
58	4.847701149425288	6	0.3965517241379306
59	5.040677966101694	5	0.3728813559322033
60	4.383333333333333	2	0.11666666666666625
61	4.901639344262295	3	0.5655737704918034
62	4.629032258064516	3	1.0
63	4.428571428571429	2	0.492063492063493
64	4.48125	5	0.515625
65	4.543589743589744	3	0.5153846153846153
66	4.515151515151516	1	0.0
67	4.895522388059701	2	0.05970149253731449
68	5.387254901960784	3	1.0661764705882355
69	5.357487922705315	3	0.38405797101449224
70	4.680952380952381	3	0.042857142857142705
71	4.417840375586855	3	0.47887323943661997
72	4.444444444444445	1	0.0
73	5.924657534246576	2	0.13013698630136972
74	5.45945945945946	1	0.0
77	4.909090909090909	1	0.0
78	4.846153846153847	2	0.3461538461538458
79	4.753164556962025	2	0.7278481012658231
81	4.864197530864198	2	0.6543209876543203
82	5.524390243902438	3	0.8597560975609753
85	4.952941176470588	2	0.22352941176470686
87	5.068965517241379	3	0.23563218390804597
89	4.617977528089888	2	0.46067415730337036
90	5.283333333333333	2	0.08333333333333215
91	4.637362637362638	1	0.0
93	4.548387096774194	2	0.12903225806451601
104	4.8076923076923075	1	0.0
105	5.314285714285714	1	0.0
107	5.214953271028038	1	0.0
108	7.138888888888889	1	0.0
110	5.03030303030303	3	0.4500000000000002
114	5.271929824561403	1	0.0
116	5.956896551724138	1	0.0
128	5.3359375	1	0.0
130	5.092307692307692	1	0.0
145	4.827586206896552	1	0.0
160	5.00625	1	0.0
161	5.211180124223603	1	0.0
168	4.761904761904762	1	0.0
175	4.991428571428571	2	0.11142857142857121
176	5.017045454545454	1	0.0
221	5.108597285067873	1	0.0
232	4.844827586206897	1	0.0
254	5.192913385826771	1	0.0
256	5.0078125	1	0.0
374	4.957219251336898	1	0.0
597	5.11892797319933	1	0.0
