u1	u2	nobservations	iqr
1	3.0378360117754934	62163	1.0
2	3.9975288303130148	13354	2.0
3	3.9362544169611233	7075	1.3333333333333335
4	3.8826668671076368	3326	1.25
5	3.8577680525164215	2742	1.2000000000000002
6	3.8381120053655273	1988	0.8333333333333335
7	3.7583462732919277	1472	0.8571428571428577
8	3.8135494402985075	1072	0.875
9	3.8558558558558564	777	0.7777777777777777
10	3.90311958405546	577	0.7999999999999998
11	3.8680778680778687	481	0.7272727272727271
12	3.8329081632653046	392	0.666666666666667
13	3.884733727810651	325	0.7692307692307692
14	3.790985767000527	271	0.6785714285714293
15	3.8457142857142874	210	0.7333333333333334
16	3.837334437086093	151	0.65625
17	3.90567037625861	111	0.6470588235294117
18	3.873015873015872	126	0.5416666666666665
19	3.782413350449296	82	0.47368421052631593
20	3.8787671232876733	73	0.5500000000000003
21	3.8847619047619055	50	0.6428571428571428
22	3.9339826839826846	42	0.5340909090909092
23	3.909862142099681	41	0.5217391304347827
24	3.8344594594594597	37	0.3333333333333335
25	3.9866666666666664	39	0.5600000000000005
26	3.988603988603989	27	0.5384615384615383
27	3.898860398860399	26	0.4537037037037037
28	3.9136904761904763	12	0.24107142857142838
29	3.682395644283121	19	0.2931034482758621
30	3.890196078431372	17	0.5333333333333328
31	3.661290322580645	2	0.016129032258064058
32	4.057291666666667	6	0.34375
33	4.454545454545454	1	0.0
35	4.257142857142857	1	0.0
36	3.826388888888889	4	0.25694444444444464
37	4.099099099099099	3	0.32432432432432456
40	4.275	1	0.0
43	3.8372093023255816	1	0.0
44	3.8636363636363638	1	0.0
45	4.022222222222222	1	0.0
