u1	u2	nobservations	iqr
1	3.707427280429257	3541	3.0
2	4.544393014937934	4753	2.0
3	4.295601587560484	6131	1.3333333333333335
4	4.183536055603823	6906	1.25
5	4.066557335688158	7927	1.1999999999999997
6	4.056773539475355	7891	1.0
7	4.035874613755171	7351	0.8571428571428572
8	4.0412271725440805	6352	1.0
9	4.033008550407631	5029	0.8888888888888893
10	4.051544676806085	4208	0.8999999999999999
11	4.051188811188805	3250	0.8181818181818179
12	4.080609400734831	2631	0.8333333333333335
13	4.070491132840091	2069	0.7692307692307692
14	4.071694269772374	1613	0.7142857142857144
15	4.062337662337657	1309	0.7333333333333338
16	4.104707012487992	1041	0.6875
17	4.096609942382416	878	0.7058823529411766
18	4.146819067871704	627	0.7222222222222223
19	4.156916454705538	538	0.6842105263157898
20	4.1435064935064965	462	0.7000000000000002
21	4.10081053698075	376	0.7619047619047619
22	4.177727272727274	300	0.6363636363636362
23	4.137973352033663	248	0.6521739130434785
24	4.209243085880641	229	0.666666666666667
25	4.09984962406015	133	0.5600000000000005
26	4.184065934065934	126	0.6057692307692304
27	4.2467948717948705	104	0.6481481481481479
28	4.154761904761905	84	0.5803571428571428
29	4.152777777777778	72	0.4224137931034475
30	4.187234042553191	47	0.5500000000000003
31	4.135080645161289	48	0.4354838709677411
32	4.153846153846154	39	0.609375
33	4.261363636363637	32	0.6212121212121215
34	4.169934640522878	36	0.46323529411764675
35	4.217142857142857	10	0.5714285714285712
36	4.13773148148148	24	0.49305555555555625
37	4.3758043758043765	21	0.40540540540540615
38	4.205741626794259	22	0.5986842105263164
39	4.44988344988345	11	0.47435897435897445
40	4.420833333333333	6	0.6749999999999989
41	4.459349593495935	6	0.37195121951219434
42	4.378306878306877	9	0.4761904761904754
43	4.212209302325581	8	0.44186046511627897
44	4.386363636363637	6	0.3125
45	4.171717171717171	11	0.8111111111111109
46	4.586956521739131	1	0.0
47	4.4787234042553195	2	0.20212765957446788
48	4.46875	2	0.010416666666666075
49	4.418367346938775	2	0.9081632653061229
50	4.15	2	0.1900000000000004
51	4.176470588235294	1	0.0
53	3.490566037735849	1	0.0
59	4.203389830508475	1	0.0
61	4.098360655737705	1	0.0
70	4.985714285714286	1	0.0
