u1	u2	nobservations	iqr
1	10.338420898150867	13628	7.0
2	8.016712719493716	11219	4.5
3	7.125784942059919	5149	3.666666666666666
4	6.351138519924099	2635	3.0
5	6.246618933969767	1257	2.8000000000000007
6	6.064961787184011	567	2.5
7	5.85603112840467	257	2.571428571428571
8	5.99515503875969	129	2.5
9	6.16666666666667	78	2.9444444444444438
10	6.3114285714285705	35	2.3499999999999996
11	5.410658307210032	29	2.363636363636364
12	6.679166666666665	20	3.166666666666667
13	5.884615384615385	8	1.75
14	5.571428571428572	3	0.9285714285714288
15	5.706666666666667	5	1.2666666666666666
16	5.125	3	2.34375
18	6.944444444444445	1	0.0
19	6.473684210526316	1	0.0
20	6.7	1	0.0
21	8.523809523809524	1	0.0
