u1	u2	nobservations	iqr
1	5.393939393939394	33	5.0
2	4.822314049586777	121	1.5
3	4.76470588235294	255	1.333333333333333
4	4.577079934747145	613	1.25
5	4.45494071146245	1012	1.2000000000000002
6	4.374584165003331	1503	0.9999999999999996
7	4.307644110275685	1824	1.0
8	4.219594594594595	1961	0.875
9	4.200453271306725	1863	1.0000000000000004
10	4.16413340623292	1829	0.8999999999999995
11	4.119682359614293	1763	0.8181818181818179
12	4.12285801713587	1634	0.75
13	4.079893079893082	1554	0.7692307692307692
14	4.084790725093337	1454	0.7142857142857144
15	4.062347977165554	1343	0.7000000000000002
16	4.048825187969925	1330	0.8125
17	4.041195476575119	1238	0.6470588235294112
18	4.0417266877941005	1157	0.7222222222222228
19	4.032923718989102	1135	0.6315789473684212
20	4.06780078895463	1014	0.7374999999999998
21	4.043144458574724	1011	0.666666666666667
22	4.062455461671587	893	0.6363636363636362
23	4.009002806757405	821	0.6086956521739126
24	4.0317141089108866	808	0.6249999999999996
25	4.015325443786983	676	0.6000000000000001
26	4.017207977207975	675	0.5769230769230766
27	4.0077972709551695	608	0.5185185185185186
28	4.011281588447657	554	0.5714285714285712
29	4.010954254416415	447	0.5172413793103443
30	3.9470284237726125	387	0.5166666666666666
31	3.9958082741024237	354	0.5161290322580645
32	3.948958333333333	300	0.5703125
33	3.961082395865004	299	0.5757575757575757
34	3.9840632288157565	227	0.5588235294117649
35	4.016134453781513	170	0.5642857142857141
36	3.9881398252184765	178	0.5
37	3.9631873252562886	174	0.5878378378378377
38	4.05692422545726	141	0.5789473684210527
39	3.98696219035202	118	0.5064102564102564
40	3.9749999999999996	149	0.4750000000000001
41	4.070690367920628	118	0.536585365853659
42	4.01140456182473	119	0.5357142857142856
43	3.972093023255814	85	0.5581395348837215
44	3.9844789356984482	82	0.4715909090909096
45	3.9977777777777783	100	0.5166666666666666
46	3.9748102139406494	63	0.5
47	4.012885825591848	71	0.6170212765957448
48	4.015793010752687	62	0.5312500000000004
49	3.95610319599538	53	0.46938775510204067
50	4.060000000000001	54	0.4850000000000003
51	3.9979889391654093	39	0.6274509803921569
52	3.9975961538461555	40	0.5096153846153846
53	3.977261731978714	39	0.5283018867924527
54	4.018518518518519	29	0.5555555555555554
55	3.9296187683284463	31	0.4454545454545453
56	3.948412698412699	36	0.37946428571428603
57	3.994152046783626	30	0.35964912280701755
58	3.8898467432950192	18	0.38362068965517304
59	4.095762711864406	20	0.39406779661016955
60	4.042361111111111	24	0.2541666666666669
61	3.982613015399901	33	0.3770491803278695
62	3.917155425219941	22	0.41129032258064546
63	4.052503052503052	13	0.5079365079365079
64	4.0126953125	16	0.33984375
65	4.0234817813765185	19	0.5
66	4.1143250688705235	11	0.5530303030303032
67	4.072968490878939	9	0.20895522388059717
68	3.9731833910034595	17	0.2205882352941173
69	3.997584541062802	12	0.4166666666666665
70	3.9214285714285717	14	0.22857142857142776
71	4.131455399061032	3	0.28169014084507094
72	3.8097222222222222	10	0.4513888888888893
73	4.2089041095890405	4	0.28424657534246656
74	3.966216216216216	4	0.35135135135135087
75	3.9433333333333334	4	0.2100000000000004
76	4.0	6	0.38486842105263186
77	3.954545454545454	4	0.2987012987012987
78	4.094017094017095	3	0.3910256410256405
79	4.03006329113924	8	0.604430379746836
80	3.8449999999999998	5	0.11249999999999982
81	4.331275720164609	6	0.6234567901234565
82	3.7975609756097564	5	0.5975609756097562
83	3.765060240963855	2	0.1144578313253013
84	3.8452380952380953	4	0.07738095238095255
85	3.847058823529412	2	0.31764705882352917
86	3.705426356589147	3	0.2383720930232558
87	3.971264367816092	4	0.3390804597701145
88	3.7102272727272725	2	0.2556818181818188
89	3.960674157303371	2	0.16292134831460725
90	4.15	2	0.10555555555555518
91	3.787545787545788	3	0.1318681318681314
93	3.833333333333333	2	0.17741935483870996
94	3.797872340425532	1	0.0
95	3.9894736842105263	1	0.0
96	4.458333333333333	1	0.0
97	3.5670103092783507	1	0.0
98	3.862244897959184	4	0.22448979591836782
100	3.58	1	0.0
102	3.764705882352941	2	0.13725490196078383
103	4.077669902912621	1	0.0
110	3.8757575757575764	3	0.3045454545454547
111	3.675675675675676	1	0.0
113	3.9734513274336285	1	0.0
114	3.912280701754386	1	0.0
115	4.3652173913043475	1	0.0
116	4.362068965517241	1	0.0
117	3.7948717948717947	2	0.2649572649572649
118	4.271186440677966	1	0.0
119	4.319327731092437	1	0.0
121	3.677685950413223	1	0.0
126	3.8174603174603177	1	0.0
127	3.9133858267716537	1	0.0
133	3.661654135338346	1	0.0
138	3.920289855072464	1	0.0
139	3.870503597122302	1	0.0
145	4.186206896551724	1	0.0
154	4.14935064935065	1	0.0
183	3.6775956284153004	1	0.0
