u1	u2	nobservations	iqr
1	7.959264542716753	6309	4.0
2	5.886742892459827	9708	2.5
3	5.6544309812306945	11224	2.333333333333334
4	5.4907991100398625	10787	2.0
5	5.536177817491331	8953	1.8000000000000007
6	5.64212138084632	7184	1.833333333333333
7	5.699898379419161	5342	1.571428571428572
8	5.744563827065746	3909	1.5
9	5.831885830784911	2725	1.5555555555555554
10	5.906230690010301	1942	1.3999999999999995
11	5.971822295351714	1326	1.454545454545455
12	6.022790535838547	958	1.333333333333334
13	6.067926225820966	684	1.4615384615384617
14	6.04181929181929	468	1.3571428571428577
15	6.2576886341929345	349	1.333333333333334
16	6.184253246753247	231	1.3125
17	6.271542130365662	185	1.2941176470588234
18	6.158896658896662	143	1.166666666666667
19	6.243229432805314	103	1.3684210526315788
20	6.51641791044776	67	1.0250000000000004
21	6.399319727891154	70	1.416666666666667
22	6.348181818181819	50	1.0340909090909092
23	6.446447507953342	41	1.1739130434782616
24	6.664855072463768	23	0.9166666666666661
25	6.618823529411764	17	1.2800000000000002
26	6.547008547008547	27	1.0769230769230775
27	6.452380952380952	14	0.8981481481481479
28	6.232142857142858	8	0.5982142857142847
29	6.536050156739811	11	0.9137931034482758
30	6.325	4	1.2750000000000004
31	5.825806451612904	5	0.16129032258064502
32	6.5390625	4	0.5390625
33	6.515151515151516	2	0.30303030303030276
34	6.333333333333333	3	0.14705882352941213
37	5.608108108108109	2	0.12162162162162193
39	6.32051282051282	2	0.5512820512820511
43	7.186046511627907	1	0.0
48	6.333333333333333	1	0.0
