u1	u2	nobservations	iqr
1	4.4085297294913905	90718	3.0
2	5.327446978436418	33807	2.5
3	5.744404304528152	17439	2.333333333333334
4	5.785520974289581	10346	2.0
5	5.7811109556457225	7147	1.7999999999999998
6	5.754882812499992	5120	1.833333333333334
7	5.758066959551597	3772	1.7142857142857144
8	5.766605003523608	2838	1.75
9	5.791264654009747	2142	1.666666666666666
10	5.831142687981051	1689	1.5999999999999996
11	5.917287630402384	1220	1.5454545454545459
12	5.896452540747844	1043	1.583333333333334
13	5.899319858223974	803	1.4230769230769225
14	5.875190258751898	657	1.428571428571428
15	5.893518518518517	576	1.333333333333333
16	5.883192389006343	473	1.375
17	5.894646747587924	378	1.2941176470588234
18	5.8836689038031285	298	1.2777777777777777
19	5.909832721338224	258	1.2894736842105257
20	5.767750000000001	200	1.2124999999999995
21	5.865900383141764	174	1.3214285714285712
22	5.83936451897617	103	1.3409090909090917
23	5.818143812709029	104	1.3804347826086962
24	5.813172043010753	93	1.125
25	5.92819277108434	83	1.08
26	5.705821205821205	74	0.9134615384615383
27	6.020128824476649	46	1.0370370370370363
28	6.049999999999999	40	1.2946428571428577
29	5.721264367816093	36	0.6293103448275872
30	5.944000000000001	25	0.7000000000000002
31	5.649368863955121	23	0.9516129032258069
32	5.946428571428571	14	0.90625
33	5.785547785547785	13	1.121212121212121
34	5.959558823529411	8	0.6544117647058822
35	5.349206349206349	9	1.0857142857142863
36	5.805555555555556	6	0.4513888888888884
37	6.027027027027027	3	0.5
38	6.140350877192983	3	0.11842105263157876
39	6.9743589743589745	2	0.6666666666666661
40	6.0875	2	0.46249999999999947
41	6.914634146341463	2	0.6707317073170724
43	6.325581395348837	1	0.0
44	6.204545454545454	1	0.0
