u1	u2	nobservations	iqr
1	2.542664631257567	18997	1.0
2	2.4308776716689406	10995	1.0
3	2.447241948210319	4647	1.0
4	2.5287223080886143	1941	1.0
5	2.5855670103092776	873	0.7999999999999998
6	2.567152103559868	412	0.8333333333333335
7	2.580774365821096	214	0.7142857142857144
8	2.612623762376238	101	0.75
9	2.5664488017429194	51	0.6111111111111112
10	2.5551724137931027	29	0.5999999999999996
11	2.527272727272727	15	0.545454545454545
12	2.3833333333333333	5	0.08333333333333304
13	2.8717948717948723	3	0.4615384615384617
16	2.5625	1	0.0
18	2.2222222222222223	1	0.0
