u1	u2	nobservations	iqr
1	7.017590441420511	3013	4.0
2	5.219934994582882	3692	2.0
3	5.133209032525375	4827	2.0
4	5.04353334684776	4933	1.75
5	4.9620029455081	4753	1.3999999999999995
6	4.9722796538785525	4353	1.5
7	4.922411929976216	3966	1.2857142857142856
8	4.904829545454546	3432	1.25
9	4.9346582354712485	2952	1.1111111111111116
10	4.890242914979761	2470	1.1000000000000005
11	4.924352118469771	2210	1.0909090909090908
12	4.9144923425978515	1763	1.0
13	4.9106125356125405	1512	1.0
14	4.902252704360434	1281	0.9285714285714279
15	4.909572809479269	1069	0.8666666666666663
16	4.906352235550709	917	0.8125
17	4.899764054999593	723	0.8235294117647056
18	4.9023209064327435	608	0.8888888888888884
19	4.91158726856668	506	0.7368421052631584
20	4.958294930875578	434	0.7999999999999998
21	4.884517443340972	374	0.8571428571428568
22	4.8955419580419575	312	0.6931818181818183
23	4.949691820756286	261	0.8260869565217392
24	4.887775157232704	212	0.791666666666667
25	4.931191709844558	193	0.7200000000000006
26	4.917052826691381	166	0.7980769230769225
27	4.975308641975307	120	0.7870370370370372
28	4.940360610263523	103	0.75
29	4.950510855683268	108	0.75
30	4.971904761904764	70	0.5999999999999996
31	4.932678821879384	69	0.6774193548387091
32	5.086277173913044	46	0.7265625
33	4.9859055673009145	43	0.8181818181818166
34	4.952488687782805	52	0.6985294117647056
35	5.182857142857142	30	0.5928571428571425
36	4.951388888888888	28	0.5972222222222223
37	5.21990171990172	22	0.635135135135136
38	5.126315789473685	20	0.8421052631578938
39	4.995726495726496	18	1.1282051282051277
40	4.7125	20	0.7937500000000002
41	5.157598499061913	13	0.4146341463414638
42	4.89047619047619	10	0.5773809523809517
43	5.080500894454382	13	0.6744186046511622
44	5.412337662337663	7	1.0568181818181817
45	4.777777777777778	1	0.0
46	4.8940217391304355	8	0.3586956521739131
47	5.328605200945626	9	0.44680851063829774
48	5.027777777777779	3	0.22916666666666696
49	4.428571428571429	2	0.204081632653061
50	5.3100000000000005	4	0.39000000000000057
51	4.6764705882352935	2	0.10784313725490247
52	5.019230769230769	1	0.0
54	5.022222222222221	5	0.5555555555555554
55	4.9363636363636365	2	0.29999999999999893
56	4.196428571428571	1	0.0
58	4.948275862068965	1	0.0
59	6.169491525423729	1	0.0
60	4.894444444444445	3	0.5250000000000004
61	5.049180327868853	1	0.0
63	4.746031746031746	1	0.0
67	6.104477611940299	1	0.0
72	5.319444444444445	1	0.0
78	4.858974358974359	1	0.0
