u1	u2	nobservations	iqr
1	3.061605011933174	6704	2.0
2	2.9307978993732	5903	1.0
3	2.828993490235354	3994	1.0
4	2.7662337662337664	2233	1.0
5	2.71172291296625	1126	0.8000000000000003
6	2.6520874751491035	503	0.6666666666666665
7	2.634262003556611	241	0.5714285714285716
8	2.6396396396396398	111	0.6875
9	2.664570230607966	53	0.5555555555555554
10	2.4850000000000003	40	0.6249999999999996
11	2.4621212121212124	12	0.2727272727272725
12	2.5416666666666665	6	0.6666666666666665
14	3.0357142857142856	2	0.39285714285714235
16	2.3125	1	0.0
