u1	u2	nobservations	iqr
1	5.191420400381316	5245	5.0
2	4.795539854272467	9058	2.0
3	4.475904017111156	14961	1.9999999999999996
4	4.407292936328283	17229	1.5
5	4.369213539074147	16072	1.4
6	4.386307786822302	13022	1.5
7	4.50402344029159	9995	1.4285714285714288
8	4.602922166281127	7349	1.5
9	4.666164862100253	5757	1.3333333333333335
10	4.745364088647671	4422	1.5000000000000004
11	4.824244244790956	3329	1.4545454545454541
12	4.8993534750715	2681	1.5
13	4.992604272252879	2049	1.615384615384615
14	5.052032934385882	1683	1.5
15	5.064265644955301	1305	1.5999999999999996
16	5.133444338725024	1051	1.53125
17	5.173839719373987	872	1.5441176470588234
18	5.183823529411757	680	1.5
19	5.336208414011619	598	1.5789473684210522
20	5.286802575107292	466	1.5
21	5.287230011367936	377	1.6190476190476186
22	5.393710519088161	331	1.545454545454545
23	5.2857406042741335	236	1.3478260869565215
24	5.28054207119741	206	1.208333333333334
25	5.4355307262569825	179	1.620000000000001
26	5.247135842880525	141	1.615384615384615
27	5.248046211348964	109	1.4444444444444438
28	5.526539973787681	109	1.4285714285714288
29	5.369827586206897	80	1.6034482758620676
30	5.398701298701296	77	1.5333333333333332
31	5.398924731182797	60	1.322580645161291
32	5.552083333333333	51	1.4375
33	5.456565656565657	45	1.333333333333333
34	5.492647058823529	44	1.4485294117647065
35	4.939428571428571	25	1.2000000000000002
36	5.457070707070707	22	1.3680555555555554
37	5.486486486486487	25	1.0540540540540544
38	5.562499999999999	16	0.8355263157894735
39	5.538461538461539	11	1.948717948717949
40	5.714285714285715	14	1.9375
41	4.912891986062718	7	0.2195121951219523
42	5.965608465608466	9	1.0476190476190474
43	5.589147286821705	9	0.7906976744186052
44	5.613636363636363	6	0.6477272727272734
45	5.248888888888888	5	0.6444444444444439
46	5.21195652173913	4	1.1793478260869552
47	5.553191489361702	3	1.085106382978723
48	5.4930555555555545	3	1.0625
49	5.938775510204081	3	0.3979591836734695
50	5.9399999999999995	5	0.9000000000000004
51	4.8431372549019605	1	0.0
52	4.980769230769231	1	0.0
53	5.2924528301886795	6	0.9292452830188669
54	5.5925925925925934	5	1.6296296296296298
55	6.299999999999999	4	0.6818181818181817
56	4.616071428571429	2	0.9017857142857153
57	5.0	1	0.0
58	6.413793103448276	2	0.3448275862068968
60	4.633333333333334	1	0.0
61	3.639344262295082	1	0.0
62	6.048387096774194	2	0.0
63	4.079365079365079	1	0.0
64	4.265625	2	0.328125
65	5.215384615384615	2	0.3538461538461535
66	5.454545454545454	1	0.0
67	5.447761194029851	2	0.20895522388059717
69	5.253623188405797	2	0.007246376811594679
70	4.785714285714286	1	0.0
71	4.788732394366197	1	0.0
73	5.013698630136986	1	0.0
79	4.8734177215189876	1	0.0
80	5.45625	2	0.48125000000000107
81	5.814814814814815	1	0.0
85	5.329411764705882	1	0.0
