u1	u2	nobservations	iqr
1	4.8131445551477015	11442	5.0
2	3.640796672243071	22117	3.0
3	3.332581511824608	30149	3.0
4	3.2106770120783334	25583	2.75
5	3.1798845526414845	15938	2.2
6	3.159747766684174	7612	2.0
7	3.172341769077566	2941	1.8571428571428572
8	3.169701086956522	920	1.5
9	3.0877648076091653	257	1.4444444444444442
10	3.0457627118644077	59	1.15
11	2.746212121212121	24	0.7272727272727271
12	2.324074074074074	9	1.5000000000000002
13	3.435897435897436	6	1.1153846153846154
14	2.5	2	0.5714285714285716
15	3.3333333333333335	1	0.0
17	2.5588235294117645	2	0.6764705882352944
18	1.8611111111111112	2	0.5833333333333333
