u1	u2	nobservations	iqr
1	3.2522083473956576	222225	2.0
2	4.684004586237648	54947	2.0
3	4.855336853896575	29162	2.0000000000000004
4	4.749645273957651	18324	1.75
5	4.628736820343175	14511	1.8000000000000003
6	4.627966127509221	10943	1.6666666666666665
7	4.662166405023574	8645	1.5714285714285712
8	4.701279239766082	6840	1.625
9	4.714165422742749	5806	1.5555555555555558
10	4.7137527727364406	4959	1.5000000000000004
11	4.706847521892209	4028	1.545454545454545
12	4.727452380952383	3500	1.5833333333333335
13	4.6963453072494765	2953	1.4615384615384621
14	4.744631901840494	2608	1.4285714285714284
15	4.716590423909729	2186	1.4
16	4.72189349112426	1859	1.4375
17	4.7607547727188795	1593	1.4705882352941178
18	4.727276261565973	1429	1.3888888888888884
19	4.717040552200177	1220	1.3684210526315792
20	4.677932692307691	1040	1.2999999999999998
21	4.7049300956585745	906	1.4761904761904767
22	4.740275482093663	825	1.4545454545454541
23	4.689256503290081	707	1.4565217391304341
24	4.755555555555558	570	1.416666666666666
25	4.622933333333338	525	1.2800000000000002
26	4.690527981016416	389	1.4615384615384621
27	4.643867243867247	385	1.4444444444444442
28	4.691310282074607	314	1.2857142857142856
29	4.679995108828561	282	1.4396551724137931
30	4.709752547307132	229	1.3666666666666671
31	4.811553653719555	196	1.6854838709677429
32	4.875753012048193	166	1.6484375
33	4.810790835181078	123	1.6060606060606064
34	4.820261437908496	99	1.5441176470588234
35	4.723197903014417	109	1.5714285714285712
36	4.853078982597056	83	1.5
37	4.719982277359325	61	1.4324324324324325
38	5.012042818911685	59	1.6578947368421053
39	4.895833333333332	48	1.301282051282051
40	5.103645833333332	48	1.4062500000000009
41	5.233859397417502	34	1.7560975609756095
42	4.801974448315911	41	1.4285714285714288
43	4.859760394644115	33	1.116279069767442
44	5.0254820936639115	33	1.4318181818181825
45	4.932323232323234	22	1.3000000000000007
46	4.92512077294686	18	1.3804347826086953
47	4.816349384098543	19	1.1170212765957448
48	5.1050347222222205	24	1.692708333333333
49	5.879120879120878	13	1.0816326530612246
50	5.2727272727272725	11	1.9799999999999995
51	4.879551820728293	7	1.0
52	4.602564102564103	12	0.8605769230769234
53	4.869639794168096	11	1.3773584905660368
54	5.112962962962963	10	0.9722222222222223
55	5.267532467532468	7	0.5090909090909088
56	5.321428571428571	2	0.75
57	4.605263157894737	2	0.6228070175438596
58	4.683908045977012	6	0.9267241379310347
59	5.661016949152542	1	0.0
60	5.844444444444444	3	0.6416666666666666
62	4.236559139784947	3	0.588709677419355
63	5.582010582010582	3	0.5714285714285712
65	5.053846153846154	2	0.2538461538461547
67	5.604477611940299	2	0.2910447761194028
73	5.972602739726027	1	0.0
74	5.013513513513513	1	0.0
77	5.181818181818182	1	0.0
78	6.205128205128205	1	0.0
79	5.620253164556962	1	0.0
80	5.64375	2	0.26874999999999893
84	5.273809523809524	1	0.0
88	5.965909090909091	1	0.0
