u1	u2	nobservations	iqr
1	4.531090723751274	220725	4.0
2	5.492652078825258	86419	3.5
3	5.7117834494588875	53247	2.666666666666667
4	5.912684615139239	31349	2.5
5	5.9952591215430955	21515	2.2
6	6.005253758617846	16052	2.166666666666667
7	5.9723940870807475	12399	2.0
8	5.985430679650637	9961	1.875
9	6.020962044651741	8147	1.7777777777777786
10	6.027338447919745	6778	1.8000000000000007
11	6.010547742413047	5404	1.6363636363636367
12	6.016137276378232	4565	1.666666666666666
13	6.019123163008053	3753	1.615384615384615
14	6.021996578797309	3257	1.5714285714285712
15	6.003221341386687	2649	1.5333333333333332
16	6.038855150697256	2223	1.4375
17	6.00654321795458	1798	1.4117647058823533
18	6.039905591866386	1530	1.3888888888888893
19	5.9949454428754825	1312	1.3684210526315788
20	6.039596700274984	1091	1.4500000000000002
21	6.0183742183742215	990	1.3690476190476195
22	6.047624633431077	775	1.3636363636363633
23	6.008063974195282	647	1.2608695652173916
24	6.004863530778169	574	1.322916666666667
25	6.0381855670103155	485	1.2399999999999993
26	6.062562763607145	383	1.2307692307692308
27	5.991302648294732	379	1.314814814814814
28	5.98911930363543	279	1.2142857142857144
29	5.923531957870435	239	1.293103448275863
30	6.015136054421771	196	1.2416666666666671
31	5.985899169403128	167	1.209677419354839
32	5.921223958333333	144	1.1640625
33	6.0126012601260115	101	1.4242424242424248
34	5.910916289592762	104	1.4264705882352944
35	5.907288629737612	98	1.428571428571428
36	5.975609756097563	82	1.0555555555555554
37	6.124936257011727	53	1.513513513513514
38	5.91533180778032	46	1.2039473684210522
39	5.877027734170591	49	1.2307692307692308
40	6.0080882352941165	34	1.231250000000001
41	6.013843111404088	37	1.414634146341463
42	5.8650793650793664	30	1.4523809523809526
43	6.137984496124031	15	2.27906976744186
44	5.511363636363638	20	1.2556818181818192
45	5.548148148148148	12	1.322222222222222
46	6.232919254658386	7	0.4130434782608692
47	6.0	6	0.5212765957446805
48	5.295833333333333	5	1.604166666666666
49	5.809523809523809	6	1.8724489795918373
50	6.26	1	0.0
51	5.186274509803921	4	1.1764705882352944
52	4.384615384615385	1	0.0
53	5.314465408805032	3	1.3584905660377355
54	6.851851851851852	1	0.0
55	4.2	1	0.0
56	4.767857142857142	2	0.6964285714285721
57	6.19298245614035	3	1.333333333333333
58	5.080459770114943	3	0.3362068965517242
59	4.830508474576272	2	0.49152542372881314
60	5.283333333333333	1	0.0
61	5.877049180327869	6	2.4262295081967222
62	5.0	2	0.1612903225806459
64	7.09375	1	0.0
66	7.333333333333333	1	0.0
67	5.6716417910447765	1	0.0
68	7.455882352941177	1	0.0
69	5.27536231884058	1	0.0
73	6.698630136986301	1	0.0
75	5.293333333333333	1	0.0
