u1	u2	nobservations	iqr
1	2.430866735183282	29190	1.0
2	2.5262832678642364	22657	1.0
3	2.525548929249132	14756	1.0
4	2.490835464620631	8211	1.0
5	2.4730050933786116	4123	0.7999999999999998
6	2.462757400257399	2072	0.666666666666667
7	2.496620099143761	951	0.7142857142857144
8	2.4593446601941746	412	0.625
9	2.4599999999999977	250	0.6666666666666665
10	2.6037735849056616	106	0.6000000000000001
11	2.5254545454545454	50	0.6136363636363638
12	2.5380952380952384	35	0.75
13	2.5164835164835164	21	0.4615384615384617
14	2.3321428571428564	20	0.5178571428571428
15	2.6222222222222222	9	0.3999999999999999
16	2.522727272727273	11	0.1875
17	2.6960784313725488	6	0.20588235294117618
18	2.324074074074074	6	0.125
19	2.31578947368421	3	0.2105263157894739
20	2.65	1	0.0
21	1.8888888888888886	3	0.23809523809523814
22	2.0454545454545454	2	0.7272727272727275
24	3.0833333333333335	1	0.0
26	2.3846153846153846	3	0.5769230769230771
27	2.740740740740741	1	0.0
28	3.0	1	0.0
30	2.6666666666666665	1	0.0
32	1.75	1	0.0
37	2.472972972972973	2	0.17567567567567544
41	2.682926829268293	1	0.0
60	2.533333333333333	1	0.0
