u1	u2	nobservations	iqr
1	6.811504424778761	1130	4.0
2	6.607305936073059	3066	3.0
3	5.887461408226273	3347	2.333333333333333
4	5.730764145954521	3782	2.25
5	5.734082217973228	4184	2.2
6	5.771437408180625	4311	1.833333333333334
7	5.75935116410754	4289	1.8571428571428568
8	5.814465772432932	4324	1.75
9	5.880560928433251	4136	1.666666666666667
10	5.843774038461544	4160	1.5999999999999996
11	5.904996929515332	3997	1.7272727272727275
12	5.934613024804969	3803	1.583333333333334
13	5.944533333333314	3750	1.5384615384615383
14	5.930805566194296	3357	1.4285714285714288
15	5.963090834360857	3244	1.4666666666666668
16	5.968675162504276	2923	1.5
17	5.930637431612879	2774	1.3529411764705879
18	5.961691801005379	2564	1.333333333333333
19	5.971553714680176	2211	1.3684210526315788
20	6.021101819970493	2033	1.3000000000000007
21	5.987745658861508	1873	1.333333333333334
22	6.020723876240513	1713	1.2727272727272734
23	5.976349895111928	1513	1.2173913043478262
24	6.028326154582433	1393	1.25
25	6.0114926660914545	1159	1.1999999999999993
26	5.949942594718703	1005	1.2307692307692308
27	6.0255742260431635	853	1.1851851851851851
28	5.991967689235797	787	1.1785714285714288
29	6.051388099053927	667	1.2413793103448274
30	5.9905328798185975	588	1.1333333333333329
31	6.005238992229814	548	1.096774193548388
32	6.000412087912088	455	1.15625
33	5.962828282828282	375	1.2121212121212128
34	6.077474892395983	328	1.1176470588235299
35	5.966744730679156	305	1.2285714285714286
36	5.915306122448977	245	1.1388888888888893
37	6.111241676459064	207	1.135135135135135
38	6.041787886802433	199	1.1184210526315788
39	5.930182267531667	166	1.3269230769230766
40	6.076027397260273	146	1.2937499999999993
41	5.959597840253213	131	1.2439024390243896
42	5.92095238095238	100	1.1130952380952381
43	5.832098134423718	91	1.1162790697674412
44	5.9678030303030285	84	1.3295454545454541
45	6.061965811965811	52	0.9944444444444454
46	6.040711462450593	55	1.3478260869565215
47	5.804255319148934	45	1.3191489361702127
48	5.770833333333331	46	1.041666666666666
49	5.911224489795917	60	1.316326530612245
50	6.047179487179487	39	1.2199999999999989
51	5.943240454076369	38	1.1029411764705888
52	5.910633484162895	17	1.134615384615385
53	5.9056603773584895	25	0.5660377358490569
54	5.519607843137255	17	1.7592592592592586
55	5.929752066115703	22	1.0500000000000007
56	6.060714285714286	10	1.4464285714285712
57	5.587134502923977	15	0.9824561403508776
58	5.785344827586207	20	1.1034482758620703
59	6.161958568738229	9	1.3898305084745761
60	5.84047619047619	7	1.2583333333333346
61	5.495081967213115	10	1.2827868852459012
62	5.383870967741935	10	1.616935483870967
63	6.062433862433862	15	1.4523809523809517
64	5.60625	5	1.328125
65	5.897435897435898	6	0.9730769230769232
66	5.325757575757576	2	0.8106060606060606
67	4.835820895522388	5	0.5223880597014929
68	4.759803921568627	3	0.47058823529411775
69	5.3768115942028984	2	0.13043478260869534
70	5.392857142857142	2	0.7071428571428564
72	6.513888888888888	3	1.083333333333334
73	5.0	3	0.5479452054794525
74	6.245945945945946	5	0.8108108108108105
75	5.863333333333334	4	0.5900000000000007
76	6.026315789473684	1	0.0
77	6.331168831168831	4	1.2727272727272725
78	6.1871794871794865	5	1.3461538461538467
79	5.814345991561182	3	0.7341772151898738
80	5.55	1	0.0
82	4.865853658536586	3	0.32317073170731714
83	6.36144578313253	1	0.0
84	5.154761904761905	1	0.0
85	5.188235294117647	2	0.552941176470588
86	6.906976744186046	2	0.4883720930232567
102	5.088235294117647	1	0.0
104	4.394230769230769	1	0.0
105	4.514285714285714	1	0.0
107	5.579439252336448	1	0.0
110	4.718181818181818	1	0.0
112	4.678571428571429	1	0.0
113	8.15929203539823	1	0.0
114	5.850877192982456	1	0.0
117	4.384615384615385	1	0.0
118	4.423728813559322	1	0.0
121	7.181818181818182	1	0.0
146	4.232876712328767	1	0.0
152	5.151315789473684	1	0.0
163	5.263803680981595	1	0.0
172	4.912790697674419	1	0.0
252	4.448412698412699	1	0.0
