u1	u2	nobservations	iqr
1	7.87240356083086	674	3.0
2	5.923265592151367	1427	2.5
3	5.64157706093191	1767	2.333333333333334
4	5.496673320026614	1503	1.5
5	5.468388429752065	968	1.2000000000000002
6	5.467741935483873	558	1.5
7	5.572438162544175	283	1.1428571428571432
8	5.430851063829787	141	1.375
9	5.548922056384742	67	1.3888888888888884
10	5.496226415094341	53	1.0999999999999996
11	5.760765550239235	19	1.4090909090909092
12	5.254901960784313	17	1.0
13	5.487179487179487	15	1.0
14	4.991071428571428	8	0.4464285714285712
15	5.257142857142857	7	0.833333333333333
16	5.375	1	0.0
17	4.852941176470589	2	0.382352941176471
18	5.666666666666667	1	0.0
20	4.95	1	0.0
37	6.045045045045046	3	0.16216216216216228
39	5.987179487179487	2	0.16666666666666785
