u1	u2	nobservations	iqr
1	4.701422623178348	11528	3.0
2	5.683077499064021	2671	2.0
3	5.551629690495753	1217	2.333333333333334
4	5.4321974965229485	719	1.75
5	5.379534883720932	430	1.4000000000000004
6	5.417892156862743	272	1.333333333333333
7	5.275576036866357	155	1.1428571428571432
8	5.297520661157025	121	1.25
9	5.222222222222222	71	1.333333333333334
10	5.2956521739130435	69	1.2999999999999998
11	5.404306220095695	38	0.9772727272727275
12	5.266025641025641	26	0.916666666666667
13	5.395604395604396	14	0.75
14	5.404761904761905	6	0.875
15	5.433333333333334	4	0.6999999999999993
17	5.764705882352941	2	0.7058823529411766
19	4.421052631578948	1	0.0
