u1	u2	nobservations	iqr
1	4.454427083333333	2304	2.0
2	3.697934595524957	1162	2.0
3	3.4048156508653116	443	1.3333333333333335
4	3.201530612244898	196	1.0
5	3.5580645161290327	62	1.0
6	3.1089743589743595	26	0.625
7	2.758241758241758	13	0.8571428571428572
8	2.625	8	0.46875
9	2.5925925925925926	3	0.38888888888888884
10	2.1500000000000004	2	0.050000000000000266
11	3.8181818181818183	2	0.27272727272727293
13	2.5384615384615383	1	0.0
14	3.0357142857142856	2	0.3214285714285712
45	3.533333333333333	1	0.0
