u1	u2	nobservations	iqr
1	5.444444444444445	27	2.5
2	6.379770992366412	262	2.5
3	6.055555555555548	552	1.333333333333334
4	5.647165697674419	688	1.75
5	5.548235294117647	510	1.2000000000000002
6	5.710113960113954	468	1.333333333333333
7	5.673109243697484	340	1.0
8	5.635204081632653	294	1.375
9	5.538706739526413	244	1.4444444444444438
10	5.621463414634147	205	1.0
11	5.378030303030304	120	0.8181818181818183
12	5.494444444444441	105	1.333333333333333
13	5.683110367892977	92	1.0769230769230775
14	5.383116883116883	66	0.7678571428571432
15	5.497333333333334	50	0.7666666666666666
16	5.0	49	0.8125
17	5.455882352941176	32	1.0588235294117645
18	5.419191919191919	22	0.6805555555555554
19	5.389473684210526	15	0.5
20	5.382	25	0.7999999999999998
21	5.361904761904762	5	0.3809523809523805
22	5.686868686868687	9	0.9090909090909092
23	5.107023411371238	13	0.6956521739130439
24	5.680555555555556	3	1.5625
25	4.8933333333333335	3	0.3600000000000003
26	6.149038461538462	8	0.48076923076922995
27	5.851851851851851	2	0.14814814814814792
28	6.5	1	0.0
29	6.620689655172415	2	0.5172413793103461
30	6.166666666666667	1	0.0
33	6.181818181818182	1	0.0
37	5.864864864864865	1	0.0
38	5.315789473684211	1	0.0
39	5.897435897435897	5	0.3076923076923084
41	4.951219512195122	1	0.0
45	5.311111111111111	1	0.0
47	5.595744680851064	1	0.0
159	5.433962264150943	1	0.0
