u1	u2	nobservations	iqr
1	4.815699658703072	293	3.0
2	4.019753086419753	810	1.5
3	4.013903743315511	935	2.0
4	4.182884231536926	1002	1.25
5	4.2195519348268915	982	1.1999999999999997
6	4.285844250363903	916	1.1666666666666665
7	4.343844984802432	752	1.1428571428571423
8	4.326842546063651	597	1.0
9	4.388474295190713	536	1.1111111111111116
10	4.410282776349611	389	1.0000000000000004
11	4.564562825709321	314	0.9090909090909092
12	4.505822416302763	229	0.916666666666667
13	4.614570614570613	189	0.8461538461538458
14	4.593211752786221	141	0.8571428571428568
15	4.659895833333335	128	0.8833333333333329
16	4.723011363636363	88	0.875
17	4.781297134238313	78	0.8529411764705888
18	4.807613168724282	54	0.958333333333333
19	4.737816764132554	54	0.6842105263157894
20	4.793548387096773	31	0.9000000000000004
21	4.786904761904763	40	0.8690476190476195
22	4.91692789968652	29	0.8636363636363633
23	4.784679089026914	21	0.8695652173913047
24	4.986111111111112	18	0.65625
25	4.661538461538462	13	0.47999999999999954
26	5.153846153846154	3	0.5
27	4.833333333333333	4	1.0740740740740753
28	4.892857142857142	3	0.14285714285714324
29	5.13793103448276	7	0.4827586206896548
30	4.633333333333333	3	0.9499999999999993
31	5.172043010752689	3	0.48387096774193594
32	5.34375	2	0.0
33	4.378787878787879	2	0.5
34	5.75	2	0.10294117647058876
35	4.542857142857143	1	0.0
36	5.361111111111111	1	0.0
37	5.54054054054054	1	0.0
38	4.368421052631579	1	0.0
40	5.175	1	0.0
41	4.7560975609756095	1	0.0
43	5.116279069767442	1	0.0
58	4.844827586206897	1	0.0
