u1	u2	nobservations	iqr
1	3.215020734142221	13022	2.0
2	3.8300326188257223	4292	2.5
3	4.2504892367906075	2044	1.6666666666666665
4	4.327360876897133	1186	1.5
5	4.364864864864865	888	1.4
6	4.273433927754918	729	1.1666666666666665
7	4.280519480519476	605	1.2857142857142851
8	4.294466403162056	506	1.25
9	4.234950941394852	419	1.1111111111111112
10	4.275561797752806	356	1.0999999999999996
11	4.292640692640695	315	1.0000000000000004
12	4.298039215686272	255	1.0
13	4.272435897435897	240	0.9230769230769234
14	4.3064868804664735	196	0.875
15	4.427360308285162	173	0.9333333333333331
16	4.26985294117647	170	1.0
17	4.295271049596308	153	0.7647058823529416
18	4.457437275985665	124	0.7777777777777777
19	4.289943609022558	112	0.8157894736842106
20	4.2493827160493804	81	0.8000000000000003
21	4.301974448315913	82	0.8333333333333339
22	4.336850649350648	56	0.7613636363636367
23	4.582427536231884	48	1.2173913043478257
24	4.37590579710145	46	0.822916666666667
25	4.251428571428571	35	0.6800000000000002
26	4.445054945054945	35	0.7115384615384617
27	4.217732884399551	33	0.5555555555555554
28	4.130952380952381	15	0.6607142857142865
29	4.321428571428572	28	0.5
30	4.286666666666666	25	0.6333333333333329
31	4.3983169705469845	23	0.935483870967742
32	4.331597222222222	18	0.828125
33	4.054545454545454	15	0.37878787878787845
34	4.358823529411765	15	0.6617647058823533
35	4.6337662337662335	11	0.371428571428571
36	4.107638888888889	8	0.29861111111111116
37	4.243243243243243	10	0.15540540540540526
38	4.548872180451127	7	0.6842105263157894
39	3.8376068376068377	6	0.5192307692307692
40	4.45	10	0.4812500000000002
41	4.452961672473867	7	1.024390243902439
42	4.273809523809524	4	0.41666666666666696
43	4.104651162790698	4	0.2441860465116279
44	4.090909090909091	3	0.07954545454545503
45	4.155555555555556	1	0.0
46	3.9021739130434785	2	0.2934782608695663
47	3.9893617021276593	2	0.28723404255319185
48	4.270833333333334	2	0.020833333333333037
49	4.272108843537414	3	0.9387755102040822
50	3.96	1	0.0
51	4.372549019607843	1	0.0
53	3.702830188679245	4	0.34433962264150875
55	3.9818181818181815	2	0.10909090909090935
57	4.192982456140351	1	0.0
58	3.9482758620689653	1	0.0
59	3.864406779661017	1	0.0
61	4.032786885245901	1	0.0
