u1	u2	nobservations	iqr
1	6.852980132450331	1510	6.0
2	6.994324631101022	881	5.0
3	7.133333333333331	455	3.666666666666666
4	7.153645833333333	288	3.25
5	7.1084745762711865	177	3.0
6	6.697318007662838	87	2.583333333333334
7	6.4315476190476195	48	1.7857142857142847
8	6.4625	40	1.3125
9	6.067632850241545	23	2.0555555555555554
10	6.135714285714287	14	1.5500000000000007
11	6.2556818181818175	16	1.2954545454545459
12	5.166666666666666	7	1.791666666666667
13	7.205128205128205	6	1.5576923076923057
15	5.2444444444444445	3	0.9666666666666659
16	4.25	2	0.0625
19	7.894736842105263	1	0.0
20	6.65	1	0.0
23	6.869565217391305	1	0.0
