u1	u2	nobservations	iqr
1	2.347682119205298	1510	2.0
2	2.919977298524404	881	1.0
3	3.2153846153846133	455	1.0
4	3.3177083333333335	288	1.0
5	3.3118644067796605	177	0.6000000000000001
6	3.352490421455939	87	0.8333333333333335
7	3.3809523809523796	48	0.8571428571428572
8	3.340625	40	0.75
9	3.3188405797101437	23	1.0
10	3.271428571428572	14	0.3999999999999999
11	3.3295454545454537	16	0.6818181818181812
12	2.726190476190476	7	0.375
13	3.4487179487179485	6	0.2307692307692304
15	2.711111111111111	3	0.2666666666666666
16	2.78125	2	0.28125
19	3.526315789473684	1	0.0
20	3.25	1	0.0
23	3.1739130434782608	1	0.0
