u1	u2	nobservations	iqr
1	7.198979591836735	196	4.0
2	5.030940594059406	808	2.0
3	4.854895579061568	1229	2.0000000000000004
4	5.059937611408199	1122	2.0
5	5.1808596918086	1233	1.7999999999999998
6	5.325219084712752	1027	1.5
7	5.407069219440349	970	1.4285714285714288
8	5.476123595505618	801	1.375
9	5.513227513227509	651	1.333333333333333
10	5.597904761904761	525	1.2999999999999998
11	5.681434599156114	474	1.2727272727272725
12	5.605173876166245	393	1.083333333333333
13	5.67179487179487	300	1.1538461538461542
14	5.63837283792441	223	1.0357142857142856
15	5.656790123456793	162	1.0
16	5.744196428571429	140	1.0625
17	5.76046634870164	111	1.0588235294117645
18	5.709119496855349	106	0.9861111111111107
19	5.794622425629291	92	0.8026315789473681
20	5.7836538461538485	52	0.9125000000000005
21	5.908521303258145	38	1.1904761904761898
22	5.795454545454544	38	1.1590909090909092
23	6.089440993788821	35	0.6956521739130439
24	5.994318181818182	22	0.864583333333333
25	5.697777777777778	18	0.96
26	6.248520710059172	13	1.0
27	6.0246913580246915	15	0.9074074074074074
28	5.955357142857142	8	0.9464285714285721
29	5.379310344827586	7	1.1551724137931032
30	6.058333333333334	4	0.2916666666666661
31	6.088709677419356	4	0.7661290322580658
32	5.65	5	0.25
33	5.924242424242425	4	0.28787878787878807
34	5.9485294117647065	4	1.0367647058823524
35	5.257142857142857	1	0.0
36	6.25	1	0.0
37	5.554054054054054	2	0.3108108108108105
38	5.5	1	0.0
40	6.4	1	0.0
43	6.930232558139535	1	0.0
44	6.090909090909091	1	0.0
47	5.851063829787234	1	0.0
