u1	u2	nobservations	iqr
1	10.0	2	0.0
2	6.0625	8	1.375
3	6.090909090909091	11	2.0
4	5.526315789473684	38	1.75
5	5.737313432835824	67	1.4000000000000004
6	5.7679324894514785	79	1.833333333333334
7	5.6125907990314765	118	1.571428571428572
8	5.6848214285714285	140	1.28125
9	5.609589041095891	146	1.416666666666667
10	5.541463414634145	164	1.125
11	5.541899441340779	179	1.0909090909090908
12	5.553468208092486	173	1.0
13	5.540622299049264	178	1.3076923076923084
14	5.499999999999998	171	0.9642857142857135
15	5.521772639691718	173	0.8666666666666671
16	5.552631578947368	190	1.046875
17	5.504643962848299	171	1.235294117647058
18	5.541748849441158	169	0.9444444444444446
19	5.5308677098150785	185	0.8421052631578947
20	5.509748427672957	159	1.0750000000000002
21	5.513829483889361	167	1.0
22	5.475316074653822	151	0.9318181818181825
23	5.495781959766385	134	0.8260869565217384
24	5.439393939393941	121	0.75
25	5.3808955223880615	134	0.7599999999999998
26	5.498879761015682	103	0.8461538461538467
27	5.456676860346586	109	0.8148148148148149
28	5.451559934318555	87	0.7142857142857135
29	5.596374889478339	78	0.887931034482758
30	5.483529411764706	85	0.8000000000000007
31	5.261706555671176	62	0.7338709677419359
32	5.471200980392157	51	0.8125
33	5.533532041728761	61	0.8181818181818183
34	5.359625668449197	44	0.8602941176470589
35	5.361654135338346	38	0.7785714285714285
36	5.580330330330329	37	0.8888888888888884
37	5.465601965601966	22	0.75
38	5.262280701754387	30	0.776315789473685
39	5.426666666666666	25	0.7435897435897436
40	5.4475	20	0.44374999999999964
41	5.441463414634145	10	0.725609756097561
42	5.5634920634920615	18	0.8154761904761898
43	5.458471760797343	14	0.13372093023255793
44	5.39141414141414	9	0.8863636363636367
45	5.4958333333333345	16	0.3722222222222218
46	5.170289855072464	6	0.6521739130434785
47	5.4787234042553195	8	0.9414893617021276
48	5.5625	5	0.0625
49	5.244897959183673	4	0.44897959183673475
50	5.6	5	0.7600000000000007
51	5.549019607843137	2	0.6274509803921573
52	4.846153846153846	1	0.0
53	5.60377358490566	2	0.18867924528301838
54	5.351851851851852	2	0.18518518518518512
55	5.315151515151515	3	0.06363636363636349
57	6.228070175438597	1	0.0
63	4.928571428571429	2	0.18253968253968278
72	6.597222222222222	1	0.0
