u1	u2	nobservations	iqr
1	5.561702127659575	235	4.0
2	6.110884353741497	735	2.0
3	5.4139194139194196	910	2.0
4	5.257462686567164	938	1.5
5	5.143589743589744	1014	1.5999999999999996
6	5.221749911441725	941	1.5
7	5.228369033563846	847	1.2857142857142856
8	5.191469489414695	803	1.375
9	5.175138220082032	623	1.333333333333333
10	5.244043321299641	554	1.4000000000000004
11	5.178834294808032	457	1.3636363636363642
12	5.278886118038236	401	1.333333333333334
13	5.396466905187837	344	1.3846153846153841
14	5.449858088930937	302	1.2857142857142856
15	5.337858220211162	221	1.1999999999999993
16	5.450224550898204	167	1.6875
17	5.4175236528177715	143	1.3529411764705879
18	5.56025641025641	130	1.2777777777777777
19	5.637426900584796	99	1.4210526315789478
20	5.654444444444442	90	1.5374999999999996
21	5.605348988910632	73	1.0952380952380958
22	5.689685314685314	52	1.4886363636363642
23	5.581841432225065	34	1.2282608695652177
24	6.059722222222222	30	1.135416666666666
25	5.569473684210527	38	1.1100000000000003
26	5.96606334841629	17	0.9615384615384617
27	5.793209876543209	12	0.8981481481481488
28	5.433333333333334	15	0.6964285714285712
29	6.601532567049809	9	1.0344827586206895
30	7.15	4	0.38333333333333375
31	5.540322580645162	4	0.3145161290322589
32	5.642361111111111	9	1.59375
33	5.893939393939394	2	0.5303030303030303
34	6.294117647058823	5	1.2058823529411766
35	5.285714285714286	1	0.0
36	5.777777777777778	2	0.7222222222222232
37	6.0	1	0.0
38	4.947368421052632	1	0.0
42	5.809523809523809	1	0.0
