u1	u2	nobservations	iqr
1	5.3121693121693125	1323	4.0
2	4.774135260712442	1937	2.0
3	4.507770632368718	2488	1.9999999999999996
4	4.603491033956505	2621	1.5
5	4.72943889315911	2602	1.6000000000000005
6	4.7560730199798815	2319	1.5
7	4.907447735191641	1968	1.428571428571428
8	5.022397476340694	1585	1.5
9	5.123504604527065	1291	1.333333333333333
10	5.265503489531406	1003	1.4000000000000004
11	5.320497197172801	746	1.1818181818181817
12	5.380931198102017	562	1.229166666666667
13	5.498667174409748	404	1.0769230769230766
14	5.460509279240399	331	1.25
15	5.567115097159944	223	1.0999999999999996
16	5.538571428571428	175	1.0
17	5.5064171122994665	110	0.7647058823529411
18	5.625000000000002	104	1.0
19	5.659178433889605	82	1.1315789473684212
20	5.641666666666668	60	1.1499999999999995
21	5.75725900116144	41	0.8095238095238093
22	5.7727272727272725	27	0.795454545454545
23	5.690434782608696	25	1.3478260869565215
24	5.920833333333333	20	1.15625
25	5.795999999999999	10	1.3999999999999995
26	5.923076923076923	8	0.36538461538461586
27	5.7175925925925934	8	0.5092592592592595
28	6.267857142857142	6	1.1071428571428577
29	6.419540229885057	6	0.4655172413793096
30	5.633333333333334	7	0.5999999999999996
31	6.306451612903226	4	0.35483870967741993
32	6.21875	1	0.0
33	6.098484848484849	4	0.7803030303030303
34	5.272058823529411	4	0.5955882352941169
35	5.142857142857143	1	0.0
36	5.972222222222222	1	0.0
37	6.513513513513513	1	0.0
39	6.128205128205129	1	0.0
40	5.625	1	0.0
41	6.121951219512195	1	0.0
44	5.431818181818182	1	0.0
55	6.5636363636363635	1	0.0
