u1	u2	nobservations	iqr
1	3.5012150668286757	1646	3.0
2	3.4648634314505435	3771	3.5
3	2.909653313732716	5442	2.666666666666667
4	2.6832084261697386	4937	2.0
5	2.563120124804984	3205	1.7999999999999998
6	2.436150234741781	1420	1.6666666666666665
7	2.332304238001686	509	1.4285714285714286
8	2.3525862068965515	145	1.375
9	2.2180293501048216	53	1.3333333333333333
10	2.0105263157894737	19	0.9000000000000004
11	1.6818181818181817	6	0.3409090909090913
12	1.0416666666666665	2	0.04166666666666674
13	2.3076923076923075	1	0.0
