u1	u2	nobservations	iqr
1	3.4540032371787763	45101	2.0
2	5.054768247202984	9385	3.0
3	5.397585001588812	5245	2.0
4	5.423409512044472	3238	2.25
5	5.315784946236578	2325	2.0
6	5.221679125934445	1739	1.666666666666667
7	5.160110420979973	1449	1.5714285714285712
8	5.128098373353989	1291	1.375
9	5.123528152429884	1038	1.4444444444444446
10	5.104306220095697	836	1.2999999999999998
11	5.184488052329457	681	1.3636363636363642
12	5.105592654424038	599	1.25
13	5.132642998027615	468	1.3076923076923075
14	5.139030612244902	392	1.1428571428571432
15	5.089389067524122	311	1.2000000000000002
16	5.140237603305785	242	1.296875
17	5.049840625905535	203	1.1764705882352944
18	5.139486260454004	186	1.0972222222222223
19	5.241575160923893	139	1.0
20	5.072471910112359	89	1.0
21	5.219742063492063	96	1.2738095238095237
22	5.16376089663761	73	0.9545454545454541
23	5.489565217391305	50	1.141304347826087
24	5.382142857142857	35	0.7291666666666661
25	5.140740740740741	27	1.0199999999999996
26	5.263736263736264	14	1.2884615384615383
27	5.207407407407407	10	0.4259259259259256
28	5.458791208791208	13	0.8571428571428568
29	5.251724137931035	10	0.8017241379310347
30	5.826666666666666	5	0.40000000000000036
32	5.447916666666667	3	0.34375
33	5.242424242424243	4	0.8939393939393936
34	5.529411764705882	1	0.0
36	4.0	1	0.0
40	4.85	1	0.0
