u1	u2	nobservations	iqr
1	4.012738853503185	471	3.0
2	4.76536312849162	358	3.0
3	4.611872146118718	365	2.3333333333333335
4	4.560754189944134	358	2.0
5	4.67877461706783	457	1.6000000000000005
6	4.649545772187282	477	1.6666666666666665
7	4.800313971742543	455	1.5714285714285712
8	4.834767206477733	494	1.375
9	4.946890286512929	477	1.2222222222222223
10	5.0832046332046295	518	1.5
11	4.969016697588123	490	1.2727272727272734
12	4.9919575633127975	487	1.166666666666667
13	5.017683465959328	435	1.1538461538461533
14	5.057077625570771	438	1.2857142857142856
15	5.042227763923523	401	1.2666666666666666
16	5.0745	375	1.09375
17	5.090306545153275	355	1.1176470588235299
18	5.141699735449738	336	1.1111111111111116
19	5.12004325883201	292	1.1578947368421053
20	5.127517985611511	278	1.0500000000000007
21	5.09894867037724	231	1.0238095238095237
22	5.131532718489238	207	1.0
23	5.071244080929832	202	0.9130434782608692
24	5.163535645472062	173	1.0
25	5.164556962025316	158	1.04
26	5.174287251210328	143	1.1730769230769234
27	5.073749187784277	114	0.9074074074074066
28	5.1547619047619015	117	1.0357142857142865
29	5.217168011738812	94	1.0517241379310347
30	5.30047619047619	70	0.6999999999999993
31	5.271837622326928	89	0.870967741935484
32	5.170138888888889	54	0.984375
33	5.1682127396413104	49	0.9393939393939394
34	5.332633053221289	42	0.75
35	5.281512605042016	34	0.9285714285714288
36	5.0399305555555545	32	0.9513888888888893
37	5.290896159317212	38	0.7972972972972974
38	5.173489278752437	27	1.223684210526315
39	5.22879684418146	26	1.134615384615385
40	5.305555555555555	18	0.6625000000000005
41	5.195121951219512	22	1.0731707317073171
42	5.321428571428571	18	1.3392857142857135
43	4.967441860465116	15	0.5
44	5.231404958677686	11	1.09090909090909
45	5.498765432098765	9	0.4222222222222225
46	5.391304347826087	8	0.6195652173913055
47	4.990881458966565	7	0.8617021276595747
48	5.572916666666667	6	1.010416666666667
49	5.775510204081633	1	0.0
50	4.991999999999999	5	1.04
51	4.598039215686274	2	0.04901960784313797
53	4.490566037735849	1	0.0
55	5.4	2	0.6545454545454552
56	5.43452380952381	3	1.1875
57	3.824561403508772	1	0.0
58	5.482758620689655	1	0.0
59	5.966101694915254	1	0.0
63	5.333333333333333	1	0.0
67	5.462686567164179	1	0.0
69	4.739130434782608	1	0.0
71	5.633802816901408	1	0.0
