u1	u2	nobservations	iqr
1	3.546645583916874	123956	2.0
2	4.750112220850634	35644	2.0
3	4.578673402993081	26127	2.3333333333333335
4	4.757254901960784	15300	1.5
5	4.663311942400993	12778	1.6000000000000005
6	4.611847681317338	11012	1.4999999999999996
7	4.700362547020469	8393	1.2857142857142856
8	4.698702079502051	7069	1.125
9	4.719652036378019	5901	1.1111111111111116
10	4.724931827035455	5134	1.1000000000000005
11	4.709869006477249	4393	1.0
12	4.721064814814817	3960	1.0
13	4.724245718945369	3396	0.9230769230769234
14	4.722454471193118	2973	0.9285714285714288
15	4.721262002743477	2673	0.8666666666666671
16	4.710582534389329	2399	0.875
17	4.7017036322725865	2196	0.7647058823529411
18	4.739404947240956	1927	0.8888888888888893
19	4.7055476529160725	1813	0.8421052631578947
20	4.707147477360932	1546	0.7999999999999998
21	4.713334645152823	1452	0.7619047619047619
22	4.706200353045008	1236	0.7840909090909092
23	4.719823139277815	1180	0.7826086956521747
24	4.712667916276168	1067	0.7916666666666661
25	4.7527631578947345	912	0.7599999999999998
26	4.740384615384613	872	0.7307692307692308
27	4.743753086419756	750	0.7037037037037042
28	4.749231399877026	697	0.7142857142857144
29	4.726146635420157	618	0.6551724137931032
30	4.735262206148279	553	0.6666666666666661
31	4.709161290322585	500	0.7177419354838719
32	4.733857615894039	453	0.71875
33	4.738396624472571	395	0.7272727272727275
34	4.7278193045173875	362	0.7058823529411766
35	4.778213091256571	299	0.6571428571428566
36	4.7192592592592595	300	0.6388888888888884
37	4.761297297297299	250	0.5675675675675675
38	4.737197724039827	222	0.6315789473684212
39	4.709802350427351	192	0.6410256410256414
40	4.689417177914111	163	0.5499999999999998
41	4.779433905450167	162	0.6219512195121952
42	4.751207729468598	138	0.5714285714285712
43	4.756871035940804	121	0.4651162790697674
44	4.709825528007346	99	0.5113636363636358
45	4.684493284493286	91	0.6111111111111107
46	4.654978962131837	62	0.6086956521739131
47	4.73017408123791	66	0.712765957446809
48	4.700559701492535	67	0.59375
49	4.628728414442701	52	0.5663265306122449
50	4.724736842105262	38	0.5700000000000003
51	4.632798573975045	33	0.6078431372549025
52	4.705128205128204	21	0.5384615384615383
53	4.804369414101292	19	0.584905660377359
54	4.861111111111112	14	0.7268518518518512
55	4.613636363636364	12	0.4363636363636365
56	4.480654761904762	12	0.42410714285714324
57	4.581871345029239	12	0.36842105263157876
58	5.010775862068965	8	1.0086206896551735
59	4.649717514124294	3	0.7203389830508478
60	5.166666666666667	5	0.6166666666666663
61	4.58811475409836	8	0.33606557377049207
62	4.903225806451613	7	0.41935483870967794
63	4.7103174603174605	4	0.3214285714285712
64	5.125	5	0.78125
65	3.923076923076923	1	0.0
67	4.631840796019901	3	0.5820895522388057
68	5.0	1	0.0
69	5.028985507246377	1	0.0
76	4.7368421052631575	1	0.0
77	5.1558441558441555	2	0.4025974025974026
95	4.463157894736842	1	0.0
