u1	u2	nobservations	iqr
1	13.977802037845706	8244	10.0
2	10.577666384829085	8279	6.5
3	8.960170327673037	6419	5.000000000000001
4	7.970151998038735	4079	3.75
5	7.284376261606788	2477	3.200000000000001
6	6.794853294853295	1386	2.666666666666667
7	6.398050021195416	674	2.2857142857142856
8	6.01747311827957	372	1.875
9	6.08920187793427	213	1.666666666666667
10	5.607954545454546	88	1.7000000000000002
11	5.4898989898989905	54	1.2954545454545459
12	5.70679012345679	27	1.2500000000000009
13	5.7846153846153845	10	1.6346153846153841
14	5.521978021978023	13	1.7857142857142856
15	6.342857142857142	7	2.333333333333332
16	5.583333333333333	3	1.1875
17	5.852941176470588	4	1.1470588235294121
18	6.5	3	0.8888888888888884
