u1	u2	nobservations	iqr
1	3.1974769529354683	8244	2.0
2	3.217840318879092	8279	1.5
3	3.156462585034016	6419	1.0
4	3.1233758274086787	4079	0.75
5	3.104561970125147	2477	0.7999999999999998
6	3.078282828282824	1386	0.8333333333333335
7	3.1131835523526936	674	0.714285714285714
8	3.037970430107527	372	0.625
9	3.083985393844548	213	0.5555555555555558
10	2.9852272727272733	88	0.5999999999999996
11	2.914141414141414	54	0.4545454545454546
12	2.962962962962963	27	0.5416666666666665
13	3.03076923076923	10	0.2884615384615383
14	2.9890109890109886	13	0.4285714285714288
15	2.914285714285714	7	0.4666666666666668
16	2.8333333333333335	3	0.84375
17	2.823529411764706	4	0.47058823529411775
18	3.074074074074074	3	0.36111111111111116
