u1	u2	nobservations	iqr
1	5.875	72	6.25
2	5.5424528301886795	212	3.0
3	5.161290322580645	248	2.0
4	5.007947976878612	346	1.5
5	4.993956043956041	364	1.7999999999999998
6	4.908983451536642	423	1.333333333333333
7	5.018826135105205	516	1.4285714285714288
8	4.893048128342246	561	1.25
9	4.874595882252846	653	1.1111111111111116
10	4.881481481481477	783	1.1000000000000005
11	4.8663500678426	804	1.0909090909090908
12	4.887461059190027	856	1.083333333333334
13	4.8451988192394495	886	1.0
14	4.837420042643926	938	0.9285714285714288
15	4.825185185185185	900	0.9333333333333336
16	4.806655665566557	909	0.8125
17	4.807768924302786	1004	0.9411764705882355
18	4.817334739803095	948	0.9444444444444446
19	4.7664644477236715	963	0.8421052631578947
20	4.818983050847451	885	0.8500000000000005
21	4.770739064856713	884	0.8095238095238102
22	4.799269288630992	846	0.7272727272727275
23	4.75372707911277	837	0.8260869565217392
24	4.791714340198319	874	0.791666666666667
25	4.766812903225808	775	0.7599999999999998
26	4.758539123852774	813	0.7692307692307692
27	4.774853801169588	798	0.7407407407407405
28	4.775174889543444	776	0.75
29	4.732202864085195	667	0.7241379310344822
30	4.7694172494172475	715	0.6999999999999993
31	4.780941669648787	631	0.645161290322581
32	4.814386609907121	646	0.71875
33	4.780723238726408	631	0.6363636363636367
34	4.793779024767802	608	0.7132352941176467
35	4.781868131868131	520	0.75
36	4.7558504566210065	584	0.6666666666666661
37	4.777509652509648	504	0.5945945945945947
38	4.807542809118605	501	0.6052631578947372
39	4.793500298151459	430	0.615384615384615
40	4.775	440	0.5750000000000002
41	4.790345293753168	433	0.51219512195122
42	4.755878530072077	403	0.5714285714285712
43	4.760459198769155	393	0.6046511627906979
44	4.7362490450725785	357	0.5454545454545459
45	4.790352628077183	334	0.5333333333333332
46	4.738030538302274	336	0.6141304347826084
47	4.75705279747833	270	0.5531914893617023
48	4.726119614512473	294	0.557291666666667
49	4.763940221757998	254	0.6326530612244898
50	4.692589641434266	251	0.5800000000000001
51	4.7401484865790975	206	0.47058823529411775
52	4.709134615384615	224	0.48076923076923084
53	4.676736830624932	173	0.4716981132075473
54	4.706734006734006	165	0.44444444444444464
55	4.65203761755486	145	0.47272727272727266
56	4.687851518560178	127	0.44642857142857206
57	4.698094156253944	139	0.41228070175438614
58	4.661637931034482	112	0.4224137931034484
59	4.551354483557872	117	0.5593220338983045
60	4.710392156862747	85	0.4500000000000002
61	4.609562841530055	60	0.4877049180327866
62	4.679467485919097	63	0.443548387096774
63	4.664534470504619	67	0.6349206349206353
64	4.70030737704918	61	0.578125
65	4.756368221941992	61	0.49230769230769234
66	4.637975499677627	47	0.5984848484848477
67	4.702321724709784	54	0.388059701492538
68	4.673050615595076	43	0.6029411764705888
69	4.620869565217391	25	0.2898550724637676
70	4.701428571428571	30	0.7428571428571429
71	4.623004694835681	30	0.609154929577465
72	4.57638888888889	36	0.46875
73	4.6503587736464445	21	0.4383561643835616
74	4.731016731016731	21	0.5135135135135132
75	4.660740740740741	9	0.6266666666666669
76	4.491486068111456	17	0.25
77	4.818181818181818	7	0.4870129870129869
78	4.622710622710622	14	0.2724358974358978
79	4.800180831826402	14	0.287974683544304
80	4.6031249999999995	8	0.25937500000000036
81	5.026748971193416	6	0.6913580246913584
82	4.532012195121951	8	0.18902439024390283
83	4.602409638554217	8	0.11445783132530174
84	4.821428571428571	5	0.4404761904761907
85	4.294117647058823	1	0.0
86	4.841085271317829	3	0.41860465116279144
87	4.7379310344827585	5	0.7241379310344822
88	4.924242424242425	3	0.25568181818181746
89	4.662921348314606	4	0.2359550561797743
90	4.719444444444445	4	0.2638888888888884
91	5.131868131868132	1	0.0
92	4.320652173913043	2	0.14673913043478226
93	5.17562724014337	3	0.618279569892473
94	4.666666666666667	3	0.3670212765957448
95	4.226315789473684	2	0.1736842105263161
97	4.371134020618557	2	0.020618556701030855
99	4.611111111111111	2	0.22727272727272751
100	4.819999999999999	3	0.25
101	5.034653465346535	2	0.12376237623762432
102	4.254901960784314	1	0.0
103	4.728155339805825	1	0.0
104	4.7451923076923075	2	0.08173076923076827
105	4.780952380952381	1	0.0
109	4.532110091743119	1	0.0
110	4.481818181818182	2	0.04545454545454586
112	4.776785714285714	2	0.053571428571428825
114	4.543859649122807	1	0.0
116	4.508620689655173	1	0.0
119	5.100840336134453	1	0.0
120	4.383333333333334	1	0.0
124	4.82258064516129	1	0.0
125	5.024	1	0.0
126	4.5396825396825395	1	0.0
127	4.464566929133858	3	0.20472440944881853
129	4.852713178294573	2	0.162790697674418
130	5.1923076923076925	1	0.0
133	5.451127819548872	1	0.0
135	4.562962962962963	1	0.0
136	4.474264705882353	2	0.11397058823529349
140	4.364285714285714	1	0.0
