u1	u2	nobservations	iqr
1	7.066485753052917	737	5.0
2	5.1077156480277415	2307	2.0
3	5.048107690610163	3021	2.3333333333333335
4	4.961050477489768	3665	1.75
5	5.020312056737585	3525	1.7999999999999998
6	5.042284632376144	3169	1.666666666666666
7	5.127918891225796	2649	1.5714285714285712
8	5.189101071262226	2147	1.5
9	5.201838032061915	1608	1.4444444444444446
10	5.2968058968059015	1221	1.5
11	5.361553030303024	960	1.2727272727272725
12	5.36282630522089	664	1.333333333333333
13	5.293846153846155	550	1.2307692307692308
14	5.38023754536457	433	1.2142857142857144
15	5.494644808743171	305	1.2000000000000002
16	5.465734649122807	228	1.25
17	5.385813148788928	170	1.1176470588235299
18	5.4838308457711475	134	1.166666666666667
19	5.648148148148148	108	1.1578947368421053
20	5.209523809523811	84	1.0625
21	5.385531135531137	52	1.3690476190476186
22	5.594594594594593	37	1.1363636363636358
23	5.423562412342216	31	1.391304347826087
24	5.59469696969697	22	0.78125
25	5.296	15	0.96
26	5.647435897435899	12	1.0673076923076925
27	5.65925925925926	5	0.8148148148148149
28	5.218749999999999	8	1.4017857142857153
29	6.051724137931034	4	0.6551724137931014
30	5.928571428571429	7	1.1500000000000004
31	5.412903225806452	5	0.612903225806452
32	6.270833333333333	3	1.40625
33	5.181818181818182	4	0.43939393939393945
34	6.23529411764706	5	2.147058823529412
35	5.742857142857143	1	0.0
37	5.351351351351352	1	0.0
38	6.394736842105263	1	0.0
39	6.717948717948718	1	0.0
40	4.7125	2	0.46249999999999947
41	5.0	1	0.0
42	3.642857142857143	1	0.0
47	6.297872340425532	1	0.0
48	5.333333333333333	1	0.0
56	6.946428571428571	1	0.0
67	5.029850746268656	1	0.0
