u1	u2	nobservations	iqr
1	8.276690391459075	4496	6.0
2	6.905943369778526	3567	3.5
3	6.257482185273158	2105	2.666666666666666
4	5.890653775322283	1086	2.0
5	5.645119305856834	461	1.8000000000000007
6	5.433628318584072	226	2.0
7	5.429792429792432	117	1.5714285714285712
8	5.60625	60	1.90625
9	5.157894736842105	19	1.5555555555555554
10	4.754545454545454	11	1.9999999999999996
11	5.256684491978611	17	1.4545454545454541
12	5.941666666666666	10	1.729166666666667
14	5.928571428571429	2	0.14285714285714235
16	5.5625	1	0.0
26	9.807692307692308	1	0.0
