u1	u2	nobservations	iqr
1	3.1156583629893237	4496	2.0
2	3.416035884496776	3567	1.25
3	3.4213776722090268	2105	1.0
4	3.4330110497237567	1086	0.75
5	3.396529284164859	461	0.7999999999999998
6	3.3163716814159288	226	0.833333333333333
7	3.318681318681319	117	0.8571428571428572
8	3.3	60	0.5
9	3.339181286549708	19	0.5555555555555554
10	3.1909090909090905	11	0.75
11	3.1764705882352944	17	0.9090909090909092
12	3.0833333333333335	10	0.25
14	3.6071428571428568	2	0.6785714285714293
16	3.3125	1	0.0
26	3.8461538461538463	1	0.0
