u1	u2	nobservations	iqr
1	10.574850299401197	167	6.5
2	6.852941176470588	187	3.5
3	5.975966562173458	319	3.0
4	5.758597883597884	378	2.6875
5	5.392197125256674	487	2.2
6	5.285569105691059	492	2.0
7	5.345301757066468	561	2.0
8	5.358320251177394	637	1.625
9	5.290488888888892	625	1.5555555555555554
10	5.286440677966104	590	1.5
11	5.320226486316461	578	1.4545454545454541
12	5.211805555555561	600	1.333333333333333
13	5.235845372901212	591	1.2692307692307692
14	5.191418736169166	581	1.428571428571428
15	5.233772755806651	531	1.2000000000000002
16	5.321582217973232	523	1.21875
17	5.202571094663024	453	1.1764705882352944
18	5.205007824726137	426	1.1527777777777777
19	5.28794207741576	378	1.2105263157894735
20	5.14444444444444	360	1.1000000000000005
21	5.16291486291486	330	1.0952380952380958
22	5.1637275767710555	299	1.0454545454545459
23	5.103884533143265	244	1.0434782608695654
24	5.157081377151799	213	1.041666666666667
25	5.118702702702703	185	1.0
26	5.12879120879121	175	1.1538461538461542
27	5.1152534113060435	152	1.0555555555555554
28	5.133022774327124	138	0.8035714285714288
29	5.0971211641885485	109	0.8965517241379315
30	5.094949494949496	99	1.0
31	5.0821114369501466	88	1.1048387096774208
32	5.10730421686747	83	1.046875
33	5.014646464646465	60	0.8030303030303028
34	5.060224089635853	63	0.9558823529411766
35	5.045341614906831	46	0.8214285714285712
36	5.069444444444445	40	0.9722222222222223
37	4.972972972972974	45	0.756756756756757
38	5.051920341394024	37	0.6052631578947363
39	5.114630467571644	34	0.9038461538461524
40	4.950833333333334	30	0.8937500000000007
41	5.041951219512196	25	1.0
42	4.8474025974025965	22	0.708333333333333
43	5.101882613510521	21	0.720930232558139
44	4.8433014354066986	19	0.6590909090909083
45	5.1090909090909085	11	0.7111111111111112
46	4.608695652173913	7	0.8804347826086953
47	5.075027995520716	19	0.5000000000000009
48	4.937500000000001	12	0.45833333333333304
49	5.212827988338192	7	0.5510204081632653
50	4.935	8	0.7350000000000003
51	4.69079939668175	13	0.7647058823529411
52	4.423076923076923	2	0.23076923076923173
53	5.145552560646901	7	0.39622641509433976
54	4.564814814814815	2	0.19444444444444464
55	4.538636363636364	8	0.6727272727272728
56	5.241071428571429	2	0.20535714285714235
57	5.705263157894737	5	0.5087719298245617
58	4.956896551724138	4	0.5603448275862073
59	5.053672316384181	6	0.4025423728813555
60	4.961111111111111	6	0.7249999999999996
61	4.39344262295082	2	0.2622950819672134
62	5.92741935483871	2	0.04032258064516103
63	5.198412698412699	4	0.25396825396825484
64	5.15234375	4	0.97265625
65	5.038461538461538	2	0.053846153846153655
66	5.136363636363637	3	0.5151515151515156
67	4.58955223880597	2	0.007462686567164312
68	5.617647058823529	1	0.0
69	5.579710144927536	1	0.0
70	4.621428571428572	2	0.03571428571428559
71	5.746478873239437	1	0.0
73	4.732876712328768	2	0.23972602739725968
75	5.1866666666666665	1	0.0
76	5.723684210526316	1	0.0
77	5.48051948051948	1	0.0
78	5.269230769230769	1	0.0
79	5.151898734177215	1	0.0
80	4.875	1	0.0
81	5.172839506172839	1	0.0
85	5.094117647058823	2	1.105882352941177
87	5.597701149425287	2	0.6321839080459766
89	4.853932584269663	1	0.0
255	5.8	1	0.0
