u1	u2	nobservations	iqr
1	8.810126582278482	158	5.0
2	8.1531007751938	258	3.375
3	7.717391304347826	414	2.666666666666667
4	7.838235294117647	255	2.25
5	7.482857142857142	210	1.8000000000000007
6	7.817401960784316	136	1.833333333333333
7	7.860935524652337	113	1.7142857142857135
8	7.757911392405063	79	1.625
9	7.955555555555555	60	1.4166666666666652
10	7.742105263157894	57	1.4000000000000004
11	8.031941031941031	37	1.0909090909090908
12	7.809895833333333	32	1.354166666666667
13	7.956730769230769	16	1.4999999999999991
14	8.005714285714285	25	1.6428571428571432
15	7.786666666666666	5	0.8666666666666663
16	7.506944444444445	9	0.9375
17	7.431372549019609	9	0.5294117647058822
18	7.711111111111111	5	0.44444444444444464
19	8.16842105263158	5	1.2631578947368434
20	7.730000000000001	5	1.2000000000000002
21	7.2476190476190485	5	0.9523809523809517
22	7.545454545454546	1	0.0
27	7.12962962962963	2	0.09259259259259345
29	8.551724137931034	1	0.0
34	7.5	1	0.0
41	7.439024390243903	1	0.0
