u1	u2	nobservations	iqr
1	4.745161290322581	620	3.0
2	4.508426966292135	534	2.0
3	4.422606191504675	463	1.9999999999999996
4	4.238997555012225	409	1.25
5	4.390769230769232	325	1.4
6	4.248201438848922	278	1.1250000000000004
7	4.42921784098255	221	1.1428571428571428
8	4.241161616161616	198	1.125
9	4.294403892944039	137	1.0
10	4.44406779661017	118	1.1
11	4.424528301886793	106	1.0
12	4.479761904761905	70	1.0833333333333335
13	4.45235361653272	67	0.9615384615384621
14	4.535014005602241	51	0.9642857142857144
15	4.288235294117648	34	0.6999999999999997
16	4.398809523809524	21	0.625
17	4.374999999999999	16	0.5735294117647056
18	4.361111111111112	10	0.6805555555555554
19	4.401913875598086	11	0.47368421052631593
20	4.262499999999999	4	0.6124999999999998
21	4.392857142857142	4	0.4166666666666661
22	5.090909090909091	1	0.0
23	3.9130434782608696	1	0.0
24	4.541666666666667	5	0.75
25	4.24	2	0.08000000000000007
26	3.8461538461538463	1	0.0
27	4.481481481481482	2	0.0
28	4.607142857142857	1	0.0
