u1	u2	nobservations	iqr
1	3.859110832811522	4791	1.0
2	4.578767123287672	1168	2.0
3	4.409372236958442	754	1.9166666666666665
4	4.367753623188406	552	1.5
5	4.50964467005076	394	1.4000000000000004
6	4.481927710843375	332	1.1666666666666665
7	4.471137026239069	245	1.1428571428571428
8	4.504830917874396	207	1.0625
9	4.3395691609977325	196	1.1111111111111116
10	4.437857142857141	140	1.1
11	4.468139337298215	107	0.9090909090909087
12	4.383333333333334	110	0.8125000000000004
13	4.332264957264957	72	0.7884615384615388
14	4.249326145552561	53	0.9285714285714288
15	4.391515151515151	55	0.666666666666667
16	4.378205128205129	39	0.90625
17	4.335511982570806	27	0.7058823529411766
18	4.416666666666666	22	0.6805555555555562
19	4.368421052631579	9	0.6842105263157894
20	4.369230769230769	13	0.2999999999999998
21	4.3730158730158735	6	0.22619047619047628
22	4.3090909090909095	5	0.7272727272727271
23	4.5	2	0.1956521739130448
25	4.6	1	0.0
26	3.5384615384615383	1	0.0
