u1	u2	nobservations	iqr
2	4.0	1	0.0
4	3.95	5	1.0
5	3.885714285714286	7	1.6
6	4.472222222222222	6	0.833333333333333
7	4.535714285714286	8	1.1071428571428568
8	4.465277777777778	18	1.21875
9	4.404761904761904	14	0.9444444444444446
10	4.438095238095238	21	1.1
11	4.4066985645933014	19	1.1363636363636358
12	4.565656565656567	33	1.2500000000000004
13	4.510256410256411	30	1.1346153846153855
14	4.4333333333333345	30	1.0178571428571423
15	4.368750000000001	32	0.75
16	4.425595238095238	42	0.5625
17	4.3378932968536255	43	0.5882352941176467
18	4.387387387387388	37	0.8888888888888884
19	4.361111111111111	36	0.8026315789473686
20	4.444339622641508	53	0.7000000000000002
21	4.445887445887446	44	0.7738095238095237
22	4.371212121212121	42	0.5340909090909092
23	4.494884910485933	34	0.7391304347826093
24	4.30603448275862	29	0.41666666666666696
25	4.4263414634146345	41	0.8799999999999999
26	4.42081447963801	34	0.6730769230769234
27	4.311111111111112	25	0.3333333333333339
28	4.475155279503106	23	0.625
29	4.49373040752351	22	0.7241379310344822
30	4.415686274509804	17	0.40000000000000036
31	4.372636262513904	29	0.48387096774193594
32	4.149553571428571	14	0.8515625
33	4.267379679144385	17	0.33333333333333304
34	4.516042780748664	11	0.5588235294117645
35	4.371428571428572	8	0.7071428571428573
36	4.3939393939393945	11	0.3888888888888893
37	4.306306306306306	9	0.21621621621621578
38	4.470760233918129	9	0.6052631578947372
39	4.397435897435897	4	0.06410256410256476
40	4.004166666666666	6	0.46249999999999947
41	4.419512195121951	5	0.463414634146341
42	4.595238095238095	1	0.0
43	4.255813953488372	1	0.0
44	3.9621212121212124	3	0.29545454545454586
45	4.011111111111111	2	0.16666666666666696
46	3.945652173913044	2	0.2065217391304346
48	4.5625	3	0.35416666666666785
49	3.9183673469387754	2	0.1428571428571428
51	4.254901960784314	1	0.0
52	3.826923076923077	1	0.0
55	4.290909090909091	1	0.0
63	3.857142857142857	1	0.0
