u1	u2	nobservations	iqr
1	7.407862407862408	407	4.0
2	5.654011461318052	698	3.0
3	5.273481869812143	763	2.0
4	5.052994011976048	835	1.75
5	4.914136125654448	764	1.5999999999999996
6	4.867156862745093	680	1.5
7	4.84664271898314	517	1.1428571428571423
8	4.696030640668524	359	1.125
9	4.807532956685495	295	1.1111111111111107
10	4.6803030303030315	198	1.1000000000000005
11	4.765090909090906	125	1.0909090909090908
12	4.732209737827713	89	0.916666666666667
13	4.672456575682381	62	0.9615384615384617
14	4.474867724867725	54	0.7678571428571432
15	4.572222222222221	36	0.5999999999999996
16	4.764204545454546	22	0.84375
17	4.257352941176471	16	0.941176470588236
18	5.020833333333333	8	0.8749999999999991
19	4.25563909774436	7	0.9736842105263159
20	5.166666666666667	3	1.125
21	5.079365079365079	3	0.8333333333333339
22	4.840909090909091	2	0.11363636363636331
23	4.978260869565217	2	0.7608695652173907
24	5.125	1	0.0
25	4.0	3	0.3799999999999999
26	4.096153846153846	2	0.21153846153846168
27	4.851851851851852	1	0.0
28	4.178571428571429	1	0.0
29	5.379310344827586	1	0.0
31	4.967741935483871	1	0.0
