u1	u2	nobservations	iqr
1	1.8897280966767371	662	1.0
2	2.2003367003367003	891	1.5
3	2.3024866225999334	1059	2.0
4	2.047763280521901	1073	1.25
5	2.0075422626788058	769	1.4000000000000001
6	1.900987224157956	574	1.0000000000000002
7	1.8588640275387258	332	0.9999999999999998
8	1.731936416184971	173	0.75
9	1.810237203495631	89	0.8888888888888891
10	1.7243243243243243	37	0.7
11	1.677685950413223	11	0.7727272727272727
12	1.869047619047619	7	0.4583333333333335
13	1.6923076923076923	3	0.30769230769230793
14	1.4285714285714286	2	0.07142857142857162
15	1.3333333333333333	1	0.0
