u1	u2	nobservations	iqr
1	4.195797886053106	15516	2.0
2	4.904869762174405	2649	2.5
3	5.046040515653779	1267	2.0
4	5.015687583444593	749	2.0
5	5.013138686131381	548	1.5999999999999996
6	4.8751937984496125	430	1.5
7	4.7773771969355545	317	1.1428571428571423
8	4.884708737864078	206	1.21875
9	4.855436081242533	186	1.333333333333334
10	4.800787401574802	127	1.0
11	4.914893617021277	94	1.0909090909090908
12	4.767932489451477	79	1.083333333333333
13	4.888594164456231	58	0.9807692307692308
14	4.850340136054422	42	0.6964285714285712
15	4.72	25	0.5333333333333332
16	4.83125	20	0.8125
17	4.470588235294118	9	0.5882352941176467
18	5.000000000000001	11	1.0
19	4.815789473684211	12	1.0921052631578947
20	4.65	9	1.0500000000000007
21	4.571428571428572	8	0.4761904761904763
22	5.545454545454546	1	0.0
23	4.086956521739131	1	0.0
24	4.6875	2	0.3958333333333339
26	5.403846153846153	2	0.13461538461538414
