u1	u2	nobservations	iqr
1	9.0	1	0.0
2	6.269230769230769	13	3.0
3	6.057471264367814	29	2.333333333333333
4	6.024038461538462	52	2.25
5	5.7217391304347816	69	3.0
6	5.196666666666666	100	1.5
7	5.375	120	1.571428571428572
8	5.319444444444445	126	1.21875
9	5.212444444444445	125	1.1111111111111116
10	5.017699115044247	113	1.2999999999999998
11	5.1151026392961905	124	1.0227272727272725
12	5.091304347826088	115	0.791666666666667
13	4.903225806451614	93	1.0
14	4.881868131868132	104	0.8571428571428568
15	4.949696969696971	110	0.8666666666666663
16	4.79609375	80	0.890625
17	4.828155981493719	89	0.7058823529411766
18	4.9435763888888875	64	0.9444444444444446
19	4.891043397968605	57	0.8947368421052628
20	4.830821917808221	73	0.75
21	4.85925925925926	45	0.7619047619047619
22	4.761363636363638	64	0.8409090909090908
23	4.783669141039236	41	0.8260869565217392
24	4.723958333333333	32	0.666666666666667
25	4.5200000000000005	32	0.5199999999999996
26	4.858173076923077	32	0.509615384615385
27	4.7328042328042335	28	0.6388888888888893
28	4.565789473684211	19	0.6785714285714297
29	4.678683385579936	22	0.4913793103448274
30	4.613636363636364	22	0.5499999999999989
31	4.729032258064517	15	0.612903225806452
32	4.580729166666667	12	0.921875
33	4.672014260249554	17	0.9696969696969697
34	4.879256965944272	19	0.7058823529411766
35	4.647619047619048	9	0.5142857142857151
36	5.035714285714286	7	0.6388888888888893
37	4.632432432432433	5	0.48648648648648685
38	4.718045112781955	7	0.39473684210526283
39	4.653846153846153	12	0.6346153846153841
40	4.85625	4	0.36874999999999947
41	4.996515679442509	7	0.4634146341463419
42	4.571428571428571	4	0.3690476190476186
43	4.511627906976744	2	0.1627906976744189
44	4.392857142857143	7	0.40909090909090917
45	4.566666666666666	2	0.05555555555555536
46	4.684782608695652	2	0.18478260869565233
47	4.588652482269503	3	0.13829787234042534
48	4.604166666666666	2	0.16666666666666696
49	5.081632653061225	1	0.0
51	4.686274509803922	2	0.039215686274509665
52	4.548076923076923	2	0.1826923076923075
55	4.2272727272727275	2	0.08181818181818201
63	6.285714285714286	1	0.0
66	4.590909090909091	1	0.0
69	5.173913043478261	1	0.0
72	4.541666666666667	1	0.0
75	4.706666666666667	1	0.0
77	4.116883116883117	1	0.0
