u1	u2	nobservations	iqr
1	5.867602059183526	111112	3.0
2	5.801431748679455	50358	2.5
3	5.969593130883469	25389	2.333333333333333
4	6.140628301753892	14197	2.0
5	6.176689115794048	9206	1.7999999999999998
6	6.194340644462521	6155	1.666666666666667
7	6.249870381251935	4133	1.5714285714285712
8	6.264050036258158	2758	1.5
9	6.2618357487922784	1955	1.5555555555555554
10	6.246343341031571	1299	1.4000000000000004
11	6.256507381507369	936	1.3636363636363633
12	6.372986822840403	683	1.333333333333333
13	6.277888777888772	462	1.384615384615385
14	6.289017341040458	346	1.1428571428571423
15	6.496242424242424	275	1.333333333333334
16	6.359375	200	1.125
17	6.460186513629839	164	1.1911764705882346
18	6.460668633235007	113	1.2777777777777777
19	6.525016244314491	81	1.2105263157894735
20	6.366197183098591	71	1.0999999999999996
21	6.44557823129252	56	1.1428571428571432
22	6.5789022298456254	53	1.4090909090909092
23	6.361927144535841	37	0.6086956521739131
24	6.672619047619048	35	0.8749999999999991
25	6.899130434782609	23	0.6799999999999997
26	6.75147928994083	13	0.7692307692307692
27	6.8119658119658135	13	1.1111111111111116
28	6.504761904761905	15	0.6607142857142865
29	6.706896551724138	6	0.931034482758621
30	6.483333333333333	6	0.625
31	6.153225806451612	4	0.33064516129032206
32	6.270833333333333	3	0.109375
33	6.373737373737374	3	0.31818181818181834
34	6.852941176470588	1	0.0
36	7.083333333333333	1	0.0
40	6.675	1	0.0
