u1	u2	nobservations	iqr
1	1.9227421921623236	40216	1.0
2	2.0098434726480554	18591	1.0
3	1.9971542950851255	6911	0.6666666666666667
4	1.9788430089942763	2446	0.75
5	1.98285714285714	840	0.7999999999999998
6	1.9828125000000008	320	0.6666666666666667
7	1.9550264550264553	162	0.7142857142857142
8	2.0385802469135803	81	0.5
9	2.002710027100271	41	0.6666666666666667
10	1.9894736842105265	19	0.3500000000000003
11	1.7373737373737375	9	0.5454545454545454
12	2.0	4	0.3750000000000002
13	1.6666666666666667	3	0.1923076923076923
14	1.8571428571428572	1	0.0
15	2.1333333333333333	1	0.0
16	1.25	1	0.0
17	2.0	3	0.11764705882352922
28	1.3214285714285714	1	0.0
