u1	u2	nobservations	iqr
1	8.203347280334729	1195	4.0
2	6.870159904850007	7567	2.5
3	6.377311038607973	9808	2.0
4	5.983280792614276	8882	1.75
5	6.1330994897959155	6272	1.7999999999999998
6	6.226423902894506	5355	1.666666666666667
7	6.331606364305525	5046	1.571428571428572
8	6.310235602094241	4775	1.5
9	6.306891025641032	4160	1.4444444444444446
10	6.286826182618274	3636	1.3000000000000007
11	6.227936737896869	3012	1.2727272727272725
12	6.2448908499767795	2153	1.25
13	6.22175226586102	1655	1.2307692307692308
14	6.207260920897283	1210	1.2142857142857144
15	6.1830813534917235	926	1.2000000000000002
16	6.219671828908554	678	1.171875
17	6.26062687848862	548	1.1911764705882346
18	6.273809523809528	420	1.0555555555555554
19	6.341885354053662	359	1.0526315789473681
20	6.34901960784314	306	1.0374999999999996
21	6.34855581576893	244	1.1428571428571432
22	6.321914800175666	207	1.0909090909090908
23	6.364130434782605	192	1.1304347826086953
24	6.36531690140845	142	1.083333333333333
25	6.374173228346456	127	1.0199999999999996
26	6.358853410740206	106	1.1153846153846159
27	6.469829379941739	89	0.9259259259259256
28	6.33953033268102	73	0.9285714285714279
29	6.414340448823206	63	0.7241379310344822
30	6.708465608465608	63	1.0999999999999996
31	6.5012406947890815	65	0.548387096774194
32	6.45703125	48	1.0859375
33	6.34313725490196	34	0.7424242424242431
34	6.427807486631016	22	0.9117647058823541
35	6.519387755102042	28	0.9500000000000002
36	6.52657004830918	23	0.8194444444444446
37	6.334281650071123	19	1.0945945945945947
38	6.328947368421053	16	0.7434210526315796
39	6.366863905325445	26	0.9230769230769225
40	6.081818181818182	11	0.4874999999999998
41	6.31219512195122	10	0.42682926829268286
42	6.554421768707484	7	0.6785714285714288
43	6.502325581395349	5	0.8372093023255811
44	6.568181818181818	10	0.44318181818181923
45	6.3571428571428585	14	0.6333333333333329
46	5.778985507246378	6	0.8804347826086953
47	6.897872340425532	5	0.021276595744681437
48	7.101190476190476	7	1.25
49	6.36734693877551	2	0.3265306122448983
50	6.3933333333333335	3	0.33000000000000007
51	6.823529411764706	1	0.0
52	5.769230769230769	1	0.0
53	5.9245283018867925	3	0.37735849056603676
55	6.4363636363636365	2	0.09090909090909083
57	6.5964912280701755	4	0.5175438596491233
58	6.913793103448276	1	0.0
59	5.52542372881356	1	0.0
61	6.950819672131147	1	0.0
70	6.8428571428571425	1	0.0
80	7.4625	1	0.0
85	5.980392156862745	3	0.0117647058823529
115	6.739130434782608	1	0.0
