u1	u2	nobservations	iqr
1	6.662198391420912	1119	4.0
2	5.315233785822021	1989	2.5
3	5.128801986343895	2148	2.0
4	5.181075888568684	2082	2.0
5	5.2219743446737334	1793	1.7999999999999998
6	5.328085785991328	1461	1.833333333333334
7	5.415080065565498	1133	1.7142857142857144
8	5.53840859030837	908	1.625
9	5.590020576131686	648	1.5555555555555554
10	5.651737451737455	518	1.6000000000000005
11	5.792916174734356	385	1.4545454545454541
12	5.837702871410733	267	1.166666666666667
13	5.8581472291149685	186	1.615384615384615
14	5.871524448705657	149	1.3571428571428568
15	5.922666666666666	125	1.2666666666666666
16	5.966188524590164	122	1.171875
17	5.98134863701578	82	1.2058823529411775
18	6.058243727598568	62	1.0972222222222214
19	5.99464763603925	59	1.5
20	6.044736842105264	38	1.4625000000000004
21	6.2435064935064934	44	1.6904761904761916
22	5.892045454545455	32	1.3863636363636367
23	5.937198067632852	27	1.6521739130434785
24	6.325	30	0.864583333333333
25	6.482666666666666	15	0.8599999999999994
26	6.228632478632479	18	1.0865384615384617
27	6.809523809523808	14	1.2685185185185182
28	6.254761904761904	15	0.8571428571428568
29	6.4080459770114935	6	1.3017241379310347
30	6.188888888888889	6	0.5666666666666655
31	5.967741935483871	3	0.854838709677419
32	6.39375	10	0.890625
33	6.000000000000001	9	1.242424242424243
34	6.382352941176471	4	0.5882352941176476
35	7.15	4	0.9785714285714286
36	6.613636363636363	11	0.8055555555555554
37	6.414414414414414	3	0.9594594594594597
38	6.75	2	0.7236842105263168
39	6.948717948717949	1	0.0
40	6.5375	2	0.03750000000000053
41	6.447154471544716	3	1.1951219512195124
42	6.369047619047619	2	0.1547619047619051
43	4.767441860465116	1	0.0
45	6.7	2	0.2333333333333334
47	6.574468085106383	1	0.0
48	6.847222222222222	3	0.4270833333333339
49	5.938775510204081	1	0.0
50	5.76	1	0.0
51	6.107843137254902	2	0.22549019607843146
52	6.3076923076923075	1	0.0
53	5.188679245283019	1	0.0
54	5.777777777777778	1	0.0
55	7.109090909090909	1	0.0
57	8.385964912280702	1	0.0
62	7.274193548387097	1	0.0
64	6.515625	1	0.0
66	6.2727272727272725	2	0.7121212121212128
69	6.72463768115942	1	0.0
72	6.819444444444445	1	0.0
85	6.564705882352941	1	0.0
93	6.67741935483871	1	0.0
122	6.032786885245901	1	0.0
165	6.193939393939394	1	0.0
