u1	u2	nobservations	iqr
1	7.792744114241605	2591	6.0
2	6.47231182795699	1860	3.5
3	5.566544566544574	1092	2.7500000000000004
4	5.159574468085107	564	2.25
5	5.1433333333333335	300	2.2499999999999996
6	4.738241308793455	163	2.0000000000000004
7	4.727731092436973	85	1.8571428571428572
8	4.974264705882353	34	1.46875
9	5.086419753086419	9	2.0
10	5.54	10	1.0249999999999995
11	4.606060606060606	6	1.7954545454545454
12	4.166666666666667	3	1.0
13	2.6153846153846154	1	0.0
15	5.0888888888888895	3	0.5333333333333332
16	4.53125	2	0.34375
