u1	u2	nobservations	iqr
1	2.4917020455422616	2591	1.0
2	2.7293010752688174	1860	1.5
3	2.722832722832718	1092	1.0
4	2.69459219858156	564	0.75
5	2.662666666666667	300	0.7999999999999998
6	2.71676891615542	163	0.833333333333333
7	2.65546218487395	85	0.7142857142857144
8	2.7573529411764706	34	0.59375
9	2.765432098765432	9	0.666666666666667
10	3.0	10	0.4750000000000001
11	2.5	6	0.4545454545454546
12	2.861111111111111	3	0.5
13	1.1538461538461537	1	0.0
15	2.488888888888889	3	0.5333333333333332
16	3.0625	2	0.0625
