u1	u2	nobservations	iqr
1	4.065934065934066	182	5.0
2	5.056603773584905	212	3.0
3	5.087014725568943	249	2.0
4	5.1938775510204085	294	2.25
5	5.377325581395346	344	1.7999999999999998
6	5.164783427495292	354	1.833333333333333
7	5.4305666400638515	358	1.571428571428572
8	5.502826633165829	398	1.625
9	5.400568181818188	352	1.4722222222222214
10	5.444915254237283	354	1.6000000000000005
11	5.5073404856013575	322	1.545454545454545
12	5.557377049180329	305	1.416666666666667
13	5.426035502958581	273	1.3846153846153841
14	5.520446096654277	269	1.4285714285714288
15	5.501149425287355	261	1.2666666666666675
16	5.578888888888889	225	1.125
17	5.518363690653925	197	1.1764705882352935
18	5.581736909323117	174	1.208333333333333
19	5.663410022061143	167	1.3421052631578956
20	5.513541666666666	144	1.3125
21	5.849021779254334	129	1.0476190476190474
22	5.426181818181816	125	1.1818181818181825
23	5.616921269095181	111	1.195652173913044
24	5.684190031152649	107	1.291666666666667
25	5.709367088607595	79	1.2800000000000011
26	5.72420262664165	82	1.375
27	5.772166105499439	66	0.8055555555555554
28	5.621819960861057	73	1.071428571428572
29	5.86206896551724	40	1.612068965517242
30	5.551234567901236	54	1.2416666666666671
31	5.6012544802867374	36	0.774193548387097
32	5.644736842105263	38	0.96875
33	5.548644338118021	38	1.1515151515151514
34	5.635076252723312	27	0.9264705882352944
35	5.606857142857143	25	0.7428571428571429
36	5.909961685823754	29	1.2222222222222223
37	5.555282555282556	11	1.0945945945945947
38	5.755639097744361	14	0.9605263157894735
39	5.531339031339031	18	0.6602564102564097
40	5.425000000000001	8	1.5312500000000009
41	5.487804878048781	17	1.3658536585365857
42	5.780952380952381	10	0.7857142857142856
43	5.866666666666668	15	1.3488372093023262
44	5.2853535353535355	9	0.8409090909090908
45	6.276190476190477	7	1.3888888888888893
46	5.785024154589372	9	1.1086956521739122
47	5.451063829787235	10	0.9042553191489358
48	6.095833333333333	10	1.546875
49	5.591836734693877	8	0.5051020408163263
50	5.875	4	0.7350000000000003
51	5.666666666666667	3	0.20588235294117752
52	5.892307692307692	5	0.8846153846153841
53	5.787735849056604	4	2.5707547169811313
54	5.9259259259259265	7	0.9722222222222214
55	5.824242424242424	3	0.6090909090909085
56	6.428571428571428	3	0.4910714285714288
57	6.976608187134503	3	1.1228070175438596
58	6.426724137931034	4	0.8922413793103443
59	5.7175141242937855	3	0.27966101694915224
60	6.361111111111112	3	0.7749999999999995
61	6.580327868852459	5	0.9836065573770494
62	5.752688172043011	3	1.532258064516129
63	5.746031746031746	1	0.0
64	6.084375	5	0.5
65	5.497435897435897	3	1.3999999999999995
66	5.545454545454545	2	1.333333333333333
69	4.434782608695652	1	0.0
70	6.678571428571429	2	0.2071428571428573
71	7.267605633802817	1	0.0
75	7.2	1	0.0
78	4.871794871794871	1	0.0
79	4.8734177215189876	1	0.0
80	6.6875	1	0.0
82	6.310975609756097	2	0.6890243902439019
83	6.2730923694779115	3	0.7289156626506017
84	5.654761904761905	1	0.0
85	6.670588235294118	1	0.0
86	6.732558139534884	1	0.0
89	6.943820224719101	1	0.0
95	6.747368421052632	1	0.0
100	6.61	1	0.0
107	6.485981308411215	1	0.0
115	5.852173913043479	1	0.0
122	6.032786885245901	1	0.0
170	6.2176470588235295	1	0.0
